ds,sortby,pushed,language,repo_count,repo_data_count
2022-11-03,,001_1week,python,13094,0
2022-11-03,,001_1week,java,7121,0
2022-11-03,,001_1week,c++,4816,0
2022-11-03,,001_1week,c,2476,0
2022-11-03,,001_1week,go,2336,0
2022-11-03,,001_1week,rust,1414,0
2022-11-03,,001_1week,r,1251,0
2022-11-03,,001_1week,terraform,356,0
2022-11-03,,001_1week,scala,276,0
2022-11-03,,001_1week,elixir,141,0
2022-11-03,,001_1week,assembly,130,0
2022-11-03,,001_1week,haskell,98,0
2022-11-03,,001_1week,fortran,66,0
2022-11-03,,001_1week,ocaml,59,0
2022-11-03,,001_1week,verilog,42,0
2022-11-03,,001_1week,erlang,14,0
2022-11-03,,001_1week,ada,13,0
2022-11-03,,001_1week,coq,12,0
2022-11-03,,001_1week,lean,6,0
2022-11-03,,001_1week,sml,5,0
2022-11-03,,001_1week,agda,3,0
2022-11-03,,001_1week,idris,3,0
2022-11-03,,001_1week,isabelle,2,0
2022-11-03,,001_1week,tla,1,0
2022-11-03,,004_1month,python,36579,0
2022-11-03,,004_1month,java,20383,0
2022-11-03,,004_1month,c++,12350,0
2022-11-03,,004_1month,c,6805,0
2022-11-03,,004_1month,go,5487,0
2022-11-03,,004_1month,r,3659,0
2022-11-03,,004_1month,rust,3299,0
2022-11-03,,004_1month,terraform,948,0
2022-11-03,,004_1month,scala,638,0
2022-11-03,,004_1month,assembly,354,0
2022-11-03,,004_1month,elixir,348,0
2022-11-03,,004_1month,haskell,269,0
2022-11-03,,004_1month,fortran,185,0
2022-11-03,,004_1month,verilog,155,0
2022-11-03,,004_1month,ocaml,140,0
2022-11-03,,004_1month,erlang,58,0
2022-11-03,,004_1month,coq,29,0
2022-11-03,,004_1month,ada,25,0
2022-11-03,,004_1month,sml,18,0
2022-11-03,,004_1month,agda,10,0
2022-11-03,,004_1month,lean,10,0
2022-11-03,,004_1month,idris,7,0
2022-11-03,,004_1month,isabelle,4,0
2022-11-03,,004_1month,tla,1,0
2022-11-03,,013_3month,python,87726,0
2022-11-03,,013_3month,java,49766,0
2022-11-03,,013_3month,c++,27765,0
2022-11-03,,013_3month,c,15716,0
2022-11-03,,013_3month,go,10946,0
2022-11-03,,013_3month,r,8834,0
2022-11-03,,013_3month,rust,6536,0
2022-11-03,,013_3month,terraform,2079,0
2022-11-03,,013_3month,scala,1131,0
2022-11-03,,013_3month,assembly,806,0
2022-11-03,,013_3month,elixir,705,0
2022-11-03,,013_3month,haskell,655,0
2022-11-03,,013_3month,verilog,458,0
2022-11-03,,013_3month,fortran,386,0
2022-11-03,,013_3month,ocaml,256,0
2022-11-03,,013_3month,erlang,97,0
2022-11-03,,013_3month,coq,61,0
2022-11-03,,013_3month,ada,55,0
2022-11-03,,013_3month,sml,38,0
2022-11-03,,013_3month,agda,25,0
2022-11-03,,013_3month,lean,22,0
2022-11-03,,013_3month,idris,13,0
2022-11-03,,013_3month,isabelle,13,0
2022-11-03,,013_3month,tla,6,0
2022-11-03,,026_6month,python,152713,0
2022-11-03,,026_6month,java,87779,0
2022-11-03,,026_6month,c++,46332,0
2022-11-03,,026_6month,c,25960,0
2022-11-03,,026_6month,go,16735,0
2022-11-03,,026_6month,r,14511,0
2022-11-03,,026_6month,rust,10009,0
2022-11-03,,026_6month,terraform,3447,0
2022-11-03,,026_6month,scala,1656,0
2022-11-03,,026_6month,assembly,1453,0
2022-11-03,,026_6month,elixir,1091,0
2022-11-03,,026_6month,haskell,1084,0
2022-11-03,,026_6month,verilog,771,0
2022-11-03,,026_6month,fortran,620,0
2022-11-03,,026_6month,ocaml,386,0
2022-11-03,,026_6month,erlang,163,0
2022-11-03,,026_6month,coq,88,0
2022-11-03,,026_6month,ada,86,0
2022-11-03,,026_6month,sml,63,0
2022-11-03,,026_6month,agda,35,0
2022-11-03,,026_6month,lean,32,0
2022-11-03,,026_6month,idris,20,0
2022-11-03,,026_6month,isabelle,17,0
2022-11-03,,026_6month,tla,14,0
2022-11-03,,052_1year,python,197170,0
2022-11-03,,052_1year,java,160994,0
2022-11-03,,052_1year,c++,77994,0
2022-11-03,,052_1year,c,43936,0
2022-11-03,,052_1year,go,26216,0
2022-11-03,,052_1year,r,24447,0
2022-11-03,,052_1year,rust,14669,0
2022-11-03,,052_1year,terraform,5615,0
2022-11-03,,052_1year,scala,2782,0
2022-11-03,,052_1year,assembly,2563,0
2022-11-03,,052_1year,elixir,2126,0
2022-11-03,,052_1year,haskell,1839,0
2022-11-03,,052_1year,verilog,1327,0
2022-11-03,,052_1year,fortran,1000,0
2022-11-03,,052_1year,ocaml,615,0
2022-11-03,,052_1year,erlang,243,0
2022-11-03,,052_1year,ada,128,0
2022-11-03,,052_1year,coq,123,0
2022-11-03,,052_1year,sml,107,0
2022-11-03,,052_1year,agda,59,0
2022-11-03,,052_1year,lean,52,0
2022-11-03,,052_1year,isabelle,31,0
2022-11-03,,052_1year,idris,28,0
2022-11-03,,052_1year,tla,23,0
2022-11-03,,156_3year,python,427675,0
2022-11-03,,156_3year,java,427106,0
2022-11-03,,156_3year,c++,177146,0
2022-11-03,,156_3year,c,98717,0
2022-11-03,,156_3year,r,60146,0
2022-11-03,,156_3year,go,51456,0
2022-11-03,,156_3year,rust,24209,0
2022-11-03,,156_3year,terraform,11107,0
2022-11-03,,156_3year,scala,6641,0
2022-11-03,,156_3year,assembly,6096,0
2022-11-03,,156_3year,elixir,4104,0
2022-11-03,,156_3year,haskell,4104,0
2022-11-03,,156_3year,verilog,3023,0
2022-11-03,,156_3year,fortran,2045,0
2022-11-03,,156_3year,ocaml,1179,0
2022-11-03,,156_3year,erlang,574,0
2022-11-03,,156_3year,coq,306,0
2022-11-03,,156_3year,ada,261,0
2022-11-03,,156_3year,sml,244,0
2022-11-03,,156_3year,agda,114,0
2022-11-03,,156_3year,lean,97,0
2022-11-03,,156_3year,isabelle,60,0
2022-11-03,,156_3year,idris,56,0
2022-11-03,,156_3year,tla,50,0
2022-11-03,,alltime,java,1028626,0
2022-11-03,,alltime,python,883715,0
2022-11-03,,alltime,c++,314143,0
2022-11-03,,alltime,c,198652,0
2022-11-03,,alltime,r,126625,0
2022-11-03,,alltime,go,80225,0
2022-11-03,,alltime,rust,29874,0
2022-11-03,,alltime,scala,18753,0
2022-11-03,,alltime,terraform,13740,0
2022-11-03,,alltime,haskell,10676,0
2022-11-03,,alltime,assembly,10229,0
2022-11-03,,alltime,elixir,7933,0
2022-11-03,,alltime,verilog,4821,0
2022-11-03,,alltime,fortran,3579,0
2022-11-03,,alltime,ocaml,2476,0
2022-11-03,,alltime,erlang,2297,0
2022-11-03,,alltime,coq,549,0
2022-11-03,,alltime,ada,498,0
2022-11-03,,alltime,sml,470,0
2022-11-03,,alltime,agda,223,0
2022-11-03,,alltime,idris,152,0
2022-11-03,,alltime,lean,111,0
2022-11-03,,alltime,isabelle,103,0
2022-11-03,,alltime,tla,75,0
