ds,sortby,pushed,language,quantile,repo_count,repos_with_license,repos_with_issues,repos_with_downloads,repos_with_wiki,repos_with_projects,repos_with_pages,size_min,size_max,size_sum,size_avg,size_std,size_q10,size_q25,size_q50,size_q75,size_q90,days_since_create_min,days_since_create_max,days_since_create_avg,days_since_create_std,days_since_create_q10,days_since_create_q25,days_since_create_q50,days_since_create_q75,days_since_create_q90,days_since_push_min,days_since_push_max,days_since_push_avg,days_since_push_std,days_since_push_q10,days_since_push_q25,days_since_push_q50,days_since_push_q75,days_since_push_q90,stargazers_count_min,stargazers_count_max,stargazers_count_sum,stargazers_count_avg,stargazers_count_std,stargazers_count_q10,stargazers_count_q25,stargazers_count_q50,stargazers_count_q75,stargazers_count_q90,forks_count_min,forks_count_max,forks_count_sum,forks_count_avg,forks_count_std,forks_count_q10,forks_count_q25,forks_count_q50,forks_count_q75,forks_count_q90,open_issues_count_min,open_issues_count_max,open_issues_count_sum,open_issues_count_avg,open_issues_count_std,open_issues_count_q10,open_issues_count_q25,open_issues_count_q50,open_issues_count_q75,open_issues_count_q90,topics_count_min,topics_count_max,topics_count_avg,topics_count_std,topics_count_q10,topics_count_q25,topics_count_q50,topics_count_q75,topics_count_q90
2021-12-30,stars,004_1month,ada,q50 - q75,19,12.0,19.0,19.0,15.0,19.0,4.0,90.0,134378.0,298370.0,15703.684210526315,32725.453158822605,163.4,472.0,2148.0,10714.5,37017.99999999998,10.0,2250.0,944.1578947368421,734.7410173476771,91.2,352.0,804.0,1439.5,1998.5999999999997,0.0,25.0,9.789473684210526,9.083433928301815,1.0,1.5,8.0,17.5,22.4,0.0,230.0,439.0,23.105263157894736,57.72626471050159,0.0,0.5,2.0,10.0,45.39999999999993,0.0,41.0,96.0,5.052631578947368,12.425214883947909,0.0,0.0,0.0,3.0,11.799999999999976,0.0,40.0,86.0,4.526315789473684,10.43694517382378,0.0,0.0,0.0,2.0,17.799999999999997,0.0,5.0,0.5789473684210527,1.346426937147361,0.0,0.0,0.0,0.0,2.1999999999999993
2021-12-30,stars,004_1month,ada,q75 - q90,2,2.0,2.0,2.0,2.0,2.0,0.0,4550.0,11543.0,16093.0,8046.5,4944.797720837527,5249.3,6298.25,8046.5,9794.75,10843.7,1389.0,2539.0,1964.0,813.1727983645296,1504.0,1676.5,1964.0,2251.5,2424.0,1.0,9.0,5.0,5.656854249492381,1.8,3.0,5.0,7.0,8.2,11.0,136.0,147.0,73.5,88.38834764831844,23.5,42.25,73.5,104.75,123.5,2.0,22.0,24.0,12.0,14.142135623730951,4.0,7.0,12.0,17.0,20.0,1.0,133.0,134.0,67.0,93.33809511662427,14.200000000000001,34.0,67.0,100.0,119.8,6.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0
2021-12-30,stars,004_1month,ada,q90 <,6,6.0,6.0,6.0,5.0,5.0,0.0,118.0,25975.0,43291.0,7215.166666666667,9477.12807588178,746.5,2188.75,4807.5,5902.25,16091.5,41.0,2543.0,1715.1666666666667,895.2234171795701,731.5,1587.25,2092.0,2101.0,2322.0,1.0,23.0,13.166666666666666,10.96205576827023,1.5,3.25,15.0,23.0,23.0,0.0,72.0,129.0,21.5,32.32800643405034,0.5,1.0,1.5,40.25,62.5,0.0,9.0,12.0,2.0,3.63318042491699,0.0,0.0,0.0,2.25,6.0,0.0,171.0,174.0,29.0,69.57585788188314,0.0,0.0,0.0,2.25,87.0,7.0,8.0,7.166666666666667,0.40824829046386313,7.0,7.0,7.0,7.0,7.5
2021-12-30,stars,004_1month,agda,q50 - q75,4,0.0,4.0,4.0,4.0,4.0,0.0,220.0,6923.0,10735.0,2683.75,2957.741522964214,524.8000000000001,982.0,1796.0,3497.75,5552.900000000001,20.0,738.0,367.75,331.7070745904183,64.10000000000001,130.25,356.5,594.0,680.4000000000001,10.0,25.0,18.5,7.681145747868608,11.2,13.0,19.5,25.0,25.0,0.0,64.0,65.0,16.25,31.836823543395994,0.0,0.0,0.5,16.75,45.10000000000001,0.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,2.8000000000000007,0.0,3.0,3.0,0.75,1.5,0.0,0.0,0.0,0.75,2.1000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-30,stars,004_1month,agda,q75 - q90,1,0.0,1.0,1.0,1.0,1.0,0.0,4112.0,4112.0,4112.0,4112.0,,4112.0,4112.0,4112.0,4112.0,4112.0,217.0,217.0,217.0,,217.0,217.0,217.0,217.0,217.0,13.0,13.0,13.0,,13.0,13.0,13.0,13.0,13.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0
2021-12-30,stars,004_1month,agda,q90 <,1,1.0,1.0,1.0,1.0,1.0,0.0,9722.0,9722.0,9722.0,9722.0,,9722.0,9722.0,9722.0,9722.0,9722.0,1424.0,1424.0,1424.0,,1424.0,1424.0,1424.0,1424.0,1424.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,85.0,85.0,85.0,85.0,,85.0,85.0,85.0,85.0,85.0,15.0,15.0,15.0,15.0,,15.0,15.0,15.0,15.0,15.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,11.0,11.0,11.0,,11.0,11.0,11.0,11.0,11.0
2021-12-30,stars,004_1month,coq,q25 - q50,15,11.0,15.0,15.0,14.0,14.0,3.0,13.0,48061.0,144753.0,9650.2,14728.957136005445,74.6,680.0,3937.0,9372.0,30995.199999999993,128.0,2547.0,1063.8666666666666,679.5672852912323,275.00000000000006,610.5,883.0,1397.5,1879.2,0.0,24.0,14.066666666666666,6.745015796515091,7.4,9.5,14.0,18.0,23.0,0.0,159.0,630.0,42.0,55.72124498660402,0.40000000000000013,2.5,11.0,78.0,126.79999999999998,0.0,40.0,172.0,11.466666666666667,13.93283207118386,0.0,0.0,2.0,18.0,32.4,0.0,42.0,139.0,9.266666666666667,15.18677369417531,0.0,0.0,1.0,11.5,34.599999999999994,0.0,3.0,0.5333333333333333,1.1254628677422753,0.0,0.0,0.0,0.0,2.5999999999999996
2021-12-30,stars,004_1month,coq,q50 - q75,8,5.0,8.0,8.0,7.0,7.0,1.0,231.0,4631.0,12546.0,1568.25,1779.4115198971983,437.5,530.5,748.0,1737.0,4344.0,195.0,2423.0,1277.625,865.30026786742,225.1,652.75,1269.5,1825.25,2408.3,3.0,22.0,13.125,7.039429765866794,5.1000000000000005,6.75,15.0,17.25,21.3,2.0,105.0,273.0,34.125,31.8946368084488,7.6000000000000005,15.25,28.5,40.0,61.59999999999999,0.0,21.0,56.0,7.0,8.34950811211569,0.0,1.5,3.5,10.0,19.6,0.0,20.0,42.0,5.25,6.649382355849731,0.0,0.75,3.5,6.5,11.599999999999998,4.0,5.0,4.375,0.5175491695067657,4.0,4.0,4.0,5.0,5.0
2021-12-30,stars,004_1month,coq,q75 - q90,4,3.0,4.0,4.0,3.0,3.0,0.0,371.0,18722.0,27742.0,6935.5,8075.7218253231085,1545.5000000000002,3307.25,4324.5,7952.75,14414.300000000003,281.0,1471.0,816.0,493.50515026019065,404.3,589.25,756.0,982.75,1275.7,2.0,21.0,7.5,9.1104335791443,2.0,2.0,3.5,9.0,16.200000000000003,0.0,50.0,116.0,29.0,25.113077602449817,4.800000000000001,12.0,33.0,50.0,50.0,0.0,5.0,10.0,2.5,2.3804761428476167,0.30000000000000004,0.75,2.5,4.25,4.7,0.0,9.0,12.0,3.0,4.08248290463863,0.30000000000000004,0.75,1.5,3.75,6.900000000000001,6.0,7.0,6.5,0.5773502691896258,6.0,6.0,6.5,7.0,7.0
2021-12-30,stars,004_1month,coq,q90 <,4,4.0,4.0,4.0,4.0,4.0,1.0,2291.0,7136.0,15368.0,3842.0,2227.8376661387756,2423.0,2621.0,2970.5,4191.5,5958.200000000001,436.0,2736.0,1665.5,1028.9637181812259,677.8000000000001,1040.5,1745.0,2370.0,2589.6,0.0,5.0,2.0,2.160246899469287,0.30000000000000004,0.75,1.5,2.75,4.1000000000000005,20.0,609.0,713.0,178.25,287.5498507505554,22.7,26.75,42.0,193.5,442.80000000000007,5.0,51.0,70.0,17.5,22.368132093076824,5.3,5.75,7.0,18.75,38.10000000000001,3.0,12.0,25.0,6.25,4.031128874149275,3.3,3.75,5.0,7.5,10.200000000000001,8.0,13.0,9.25,2.5,8.0,8.0,8.0,9.25,11.5
