ds,sortby,pushed,language,quantile,repo_count,repos_with_license,repos_with_issues,repos_with_downloads,repos_with_wiki,repos_with_projects,repos_with_pages,size_min,size_max,size_sum,size_avg,size_std,size_q10,size_q25,size_q50,size_q75,size_q90,days_since_create_min,days_since_create_max,days_since_create_avg,days_since_create_std,days_since_create_q10,days_since_create_q25,days_since_create_q50,days_since_create_q75,days_since_create_q90,days_since_push_min,days_since_push_max,days_since_push_avg,days_since_push_std,days_since_push_q10,days_since_push_q25,days_since_push_q50,days_since_push_q75,days_since_push_q90,stargazers_count_min,stargazers_count_max,stargazers_count_sum,stargazers_count_avg,stargazers_count_std,stargazers_count_q10,stargazers_count_q25,stargazers_count_q50,stargazers_count_q75,stargazers_count_q90,forks_count_min,forks_count_max,forks_count_sum,forks_count_avg,forks_count_std,forks_count_q10,forks_count_q25,forks_count_q50,forks_count_q75,forks_count_q90,open_issues_count_min,open_issues_count_max,open_issues_count_sum,open_issues_count_avg,open_issues_count_std,open_issues_count_q10,open_issues_count_q25,open_issues_count_q50,open_issues_count_q75,open_issues_count_q90,topics_count_min,topics_count_max,topics_count_avg,topics_count_std,topics_count_q10,topics_count_q25,topics_count_q50,topics_count_q75,topics_count_q90
2022-01-06,stars,004_1month,ada,q10 - q25,6,3.0,6.0,6.0,6.0,5.0,0.0,90.0,6323.0,7837.0,1306.1666666666667,2470.907397428456,130.5,177.0,226.0,665.0,3562.0,17.0,1050.0,405.1666666666667,404.61409598117893,32.5,85.25,313.5,624.25,869.5,1.0,20.0,6.666666666666667,7.659416862050705,1.0,1.0,3.5,9.75,15.5,0.0,1.0,2.0,0.3333333333333333,0.5163977794943222,0.0,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.16666666666666666,0.408248290463863,0.0,0.0,0.0,0.0,0.5,0.0,7.0,2.0,2.756809750418044,0.0,0.0,1.0,2.75,5.0
2022-01-06,stars,004_1month,ada,q25 - q50,5,4.0,5.0,5.0,4.0,5.0,2.0,616.0,27656.0,39911.0,7982.2,11345.126275189712,675.2,764.0,3379.0,7496.0,19592.0,288.0,2244.0,1294.8,757.0579238076832,593.2,1051.0,1076.0,1815.0,2072.4,1.0,18.0,6.0,7.14142842854285,1.0,1.0,3.0,7.0,13.600000000000001,2.0,8.0,22.0,4.4,2.6076809620810595,2.0,2.0,4.0,6.0,7.2,0.0,5.0,10.0,2.0,2.345207879911715,0.0,0.0,1.0,4.0,4.6,0.0,3.0,4.0,0.8,1.3038404810405297,0.0,0.0,0.0,1.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,stars,004_1month,ada,q50 - q75,6,6.0,6.0,6.0,6.0,6.0,1.0,397.0,169758.0,247224.0,41204.0,67433.97127561152,661.5,1082.5,6577.5,50141.75,116373.0,728.0,2546.0,1921.8333333333333,770.6362090290507,959.0,1456.75,2260.5,2475.5,2546.0,0.0,5.0,3.0,2.0,1.0,2.0,3.0,4.75,5.0,10.0,24.0,90.0,15.0,5.215361924162119,10.5,11.25,14.0,16.75,20.5,0.0,2.0,7.0,1.1666666666666667,0.752772652709081,0.5,1.0,1.0,1.75,2.0,0.0,17.0,19.0,3.1666666666666665,6.794605703546503,0.0,0.0,0.5,1.0,9.0,0.0,7.0,4.833333333333333,2.48327740429189,2.5,5.0,5.5,6.0,6.5
2022-01-06,stars,004_1month,ada,q75 - q90,3,3.0,3.0,3.0,1.0,3.0,1.0,2148.0,23842.0,30782.0,10260.666666666666,11835.841555771745,2676.8,3470.0,4792.0,14317.0,20032.0,590.0,2550.0,1523.0,983.3753098385173,757.8,1009.5,1429.0,1989.5,2325.8,0.0,20.0,8.0,10.583005244258363,0.8,2.0,4.0,12.0,16.8,25.0,72.0,150.0,50.0,23.643180835073778,30.6,39.0,53.0,62.5,68.2,3.0,9.0,16.0,5.333333333333333,3.214550253664318,3.2,3.5,4.0,6.5,8.0,3.0,165.0,172.0,57.333333333333336,93.2434090610877,3.2,3.5,4.0,84.5,132.8,0.0,7.0,4.666666666666667,4.041451884327381,1.4000000000000001,3.5,7.0,7.0,7.0
2022-01-06,stars,004_1month,ada,q90 <,3,2.0,3.0,3.0,2.0,3.0,0.0,4577.0,139049.0,148950.0,49650.0,77422.70599120132,4726.4,4950.5,5324.0,72186.5,112304.0,1396.0,1946.0,1681.6666666666667,275.61990736035983,1457.4,1549.5,1703.0,1824.5,1897.4,1.0,3.0,2.0,1.0,1.2,1.5,2.0,2.5,2.8,127.0,231.0,494.0,164.66666666666666,57.62233363317849,128.8,131.5,136.0,183.5,212.0,22.0,42.0,103.0,34.333333333333336,10.785793124908958,25.4,30.5,39.0,40.5,41.4,23.0,134.0,197.0,65.66666666666667,59.7857285088451,26.4,31.5,40.0,87.0,115.2,0.0,6.0,2.0,3.4641016151377544,0.0,0.0,0.0,3.0,4.800000000000001
2022-01-06,stars,004_1month,agda,q25 - q50,3,1.0,3.0,3.0,3.0,3.0,0.0,283.0,2356.0,3875.0,1291.6666666666667,1037.62051508889,473.6,759.5,1236.0,1796.0,2132.0,27.0,553.0,250.33333333333334,271.8259246895581,55.8,99.0,171.0,362.0,476.6,1.0,21.0,13.0,10.583005244258363,4.2,9.0,17.0,19.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,stars,004_1month,agda,q50 - q75,1,0.0,1.0,1.0,1.0,1.0,0.0,4186.0,4186.0,4186.0,4186.0,,4186.0,4186.0,4186.0,4186.0,4186.0,224.0,224.0,224.0,,224.0,224.0,224.0,224.0,224.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0
2022-01-06,stars,004_1month,agda,q75 - q90,1,0.0,1.0,1.0,1.0,1.0,0.0,122.0,122.0,122.0,122.0,,122.0,122.0,122.0,122.0,122.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2022-01-06,stars,004_1month,agda,q90 <,1,1.0,1.0,1.0,1.0,1.0,0.0,8300.0,8300.0,8300.0,8300.0,,8300.0,8300.0,8300.0,8300.0,8300.0,1431.0,1431.0,1431.0,,1431.0,1431.0,1431.0,1431.0,1431.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,85.0,85.0,85.0,85.0,,85.0,85.0,85.0,85.0,85.0,15.0,15.0,15.0,15.0,,15.0,15.0,15.0,15.0,15.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,11.0,11.0,11.0,,11.0,11.0,11.0,11.0,11.0
2022-01-06,stars,004_1month,coq,< q10,3,2.0,3.0,3.0,3.0,3.0,0.0,83.0,371.0,604.0,201.33333333333334,150.7061157794644,96.4,116.5,150.0,260.5,326.8,174.0,699.0,456.3333333333333,264.7382354956181,238.4,335.0,496.0,597.5,658.4,12.0,27.0,18.666666666666668,7.637626158259733,13.0,14.5,17.0,22.0,25.0,0.0,2.0,2.0,0.6666666666666666,1.1547005383792517,0.0,0.0,0.0,1.0,1.6,0.0,2.0,2.0,0.6666666666666666,1.1547005383792517,0.0,0.0,0.0,1.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.6666666666666665,3.0550504633038935,0.4,1.0,2.0,4.0,5.2
