ds,sortby,pushed,language,quantile,repo_count,repos_with_license,repos_with_issues,repos_with_downloads,repos_with_wiki,repos_with_projects,repos_with_pages,size_min,size_max,size_sum,size_avg,size_std,size_q10,size_q25,size_q50,size_q75,size_q90,days_since_create_min,days_since_create_max,days_since_create_avg,days_since_create_std,days_since_create_q10,days_since_create_q25,days_since_create_q50,days_since_create_q75,days_since_create_q90,days_since_push_min,days_since_push_max,days_since_push_avg,days_since_push_std,days_since_push_q10,days_since_push_q25,days_since_push_q50,days_since_push_q75,days_since_push_q90,stargazers_count_min,stargazers_count_max,stargazers_count_sum,stargazers_count_avg,stargazers_count_std,stargazers_count_q10,stargazers_count_q25,stargazers_count_q50,stargazers_count_q75,stargazers_count_q90,forks_count_min,forks_count_max,forks_count_sum,forks_count_avg,forks_count_std,forks_count_q10,forks_count_q25,forks_count_q50,forks_count_q75,forks_count_q90,open_issues_count_min,open_issues_count_max,open_issues_count_sum,open_issues_count_avg,open_issues_count_std,open_issues_count_q10,open_issues_count_q25,open_issues_count_q50,open_issues_count_q75,open_issues_count_q90,topics_count_min,topics_count_max,topics_count_avg,topics_count_std,topics_count_q10,topics_count_q25,topics_count_q50,topics_count_q75,topics_count_q90
2022-01-13,stars,004_1month,ada,q25 - q50,12,8.0,12.0,12.0,11.0,10.0,1.0,12.0,169774.0,359207.0,29933.916666666668,62024.77710847544,32.400000000000006,150.75,447.5,11687.5,140552.50000000006,1.0,2264.0,729.4166666666666,756.4744132347029,6.000000000000002,47.25,566.5,1088.75,1750.4000000000003,0.0,27.0,8.666666666666666,9.773185331055148,1.0,1.0,5.0,14.25,24.300000000000004,0.0,12.0,27.0,2.25,3.7929360179633447,0.0,0.0,1.0,2.0,7.400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.3333333333333333,0.4923659639173309,0.0,0.0,0.0,1.0,1.0,0.0,7.0,1.4166666666666667,2.391588796113782,0.0,0.0,0.0,2.25,4.800000000000001
2022-01-13,stars,004_1month,ada,q50 - q75,7,6.0,7.0,7.0,6.0,7.0,2.0,397.0,63875.0,103138.0,14734.0,23366.071713776226,619.6,847.0,1552.0,17810.0,39960.20000000001,295.0,2553.0,1577.142857142857,904.0240462457158,559.0,966.0,1436.0,2412.0,2553.0,0.0,12.0,7.571428571428571,4.720774754816659,1.8000000000000003,4.5,9.0,11.5,12.0,4.0,72.0,154.0,22.0,22.92742171869019,7.6000000000000005,10.5,16.0,20.5,43.20000000000002,1.0,3.0,11.0,1.5714285714285714,0.7867957924694432,1.0,1.0,1.0,2.0,2.4000000000000004,0.0,167.0,185.0,26.428571428571427,62.155335364598535,0.0,0.5,1.0,8.0,74.60000000000005,0.0,7.0,5.142857142857143,2.410295378065479,3.0000000000000004,5.0,6.0,6.5,7.0
2022-01-13,stars,004_1month,ada,q75 - q90,4,4.0,4.0,4.0,2.0,4.0,2.0,2148.0,7915.0,18241.0,4560.25,2484.99837357425,2517.3,3071.25,4089.0,5578.0,6980.200000000001,597.0,2557.0,1615.75,937.8043061676922,735.3,942.75,1654.5,2327.5,2465.2000000000003,1.0,27.0,10.75,11.4418821295566,2.2,4.0,7.5,14.25,21.900000000000002,2.0,53.0,86.0,21.5,23.27373340628157,3.2,5.0,15.5,32.0,44.60000000000001,4.0,9.0,22.0,5.5,2.3804761428476167,4.0,4.0,4.5,6.0,7.800000000000001,0.0,4.0,7.0,1.75,2.06155281280883,0.0,0.0,1.5,3.25,3.7,0.0,7.0,1.75,3.5,0.0,0.0,0.0,1.75,4.900000000000001
2022-01-13,stars,004_1month,ada,q90 <,3,2.0,3.0,3.0,2.0,3.0,0.0,4583.0,139601.0,149582.0,49860.666666666664,77718.47673708829,4746.0,4990.5,5398.0,72499.5,112760.40000000001,1403.0,1953.0,1688.6666666666667,275.61990736035983,1464.4,1556.5,1710.0,1831.5,1904.4,1.0,5.0,2.3333333333333335,2.3094010767585034,1.0,1.0,1.0,3.0,4.2,128.0,231.0,497.0,165.66666666666666,56.800821590302135,130.0,133.0,138.0,184.5,212.4,23.0,42.0,104.0,34.666666666666664,10.214368964029708,26.2,31.0,39.0,40.5,41.4,21.0,134.0,196.0,65.33333333333333,60.30201765557545,25.0,31.0,41.0,87.5,115.4,0.0,6.0,2.0,3.4641016151377544,0.0,0.0,0.0,3.0,4.800000000000001
2022-01-13,stars,004_1month,agda,q50 - q75,6,2.0,6.0,6.0,6.0,6.0,0.0,35.0,4186.0,6096.0,1016.0,1612.9296326870556,78.5,150.0,258.5,997.75,2711.0,7.0,560.0,199.0,201.63432247511832,10.0,54.25,191.5,224.5,395.5,3.0,24.0,9.666666666666666,7.284687135812125,5.0,7.25,8.0,8.0,16.0,0.0,6.0,7.0,1.1666666666666667,2.401388487243717,0.0,0.0,0.0,0.75,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.16666666666666666,0.408248290463863,0.0,0.0,0.0,0.0,0.5,0.0,4.0,0.6666666666666666,1.632993161855452,0.0,0.0,0.0,0.0,2.0
2022-01-13,stars,004_1month,agda,q75 - q90,1,0.0,1.0,1.0,1.0,1.0,0.0,6927.0,6927.0,6927.0,6927.0,,6927.0,6927.0,6927.0,6927.0,6927.0,181.0,181.0,181.0,,181.0,181.0,181.0,181.0,181.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,73.0,73.0,73.0,73.0,,73.0,73.0,73.0,73.0,73.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2022-01-13,stars,004_1month,agda,q90 <,1,1.0,1.0,1.0,1.0,1.0,0.0,8567.0,8567.0,8567.0,8567.0,,8567.0,8567.0,8567.0,8567.0,8567.0,1438.0,1438.0,1438.0,,1438.0,1438.0,1438.0,1438.0,1438.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,85.0,85.0,85.0,85.0,,85.0,85.0,85.0,85.0,85.0,15.0,15.0,15.0,15.0,,15.0,15.0,15.0,15.0,15.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,11.0,11.0,11.0,,11.0,11.0,11.0,11.0,11.0
2022-01-13,stars,004_1month,coq,q10 - q25,5,2.0,5.0,5.0,4.0,4.0,0.0,102.0,5758.0,7689.0,1537.8,2398.153914993781,159.6,246.0,373.0,1210.0,3938.8,5.0,706.0,341.8,258.9666001630326,103.80000000000001,252.0,295.0,451.0,604.0,1.0,26.0,7.0,10.747092630102339,1.0,1.0,2.0,5.0,17.6,0.0,17.0,40.0,8.0,8.276472678623424,0.0,0.0,7.0,16.0,16.6,0.0,1.0,1.0,0.2,0.447213595499958,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,9.0,9.0,1.8,4.024922359499621,0.0,0.0,0.0,0.0,5.4,0.0,6.0,3.4,3.1304951684997055,0.0,0.0,5.0,6.0,6.0
2022-01-13,stars,004_1month,coq,q25 - q50,5,3.0,5.0,5.0,5.0,5.0,0.0,83.0,11501.0,18029.0,3605.8,4785.835109988642,373.0,808.0,843.0,4794.0,8818.2,503.0,1954.0,1123.2,544.7285562553151,623.8,805.0,1127.0,1227.0,1663.2,1.0,24.0,11.2,10.61602562167217,1.0,1.0,10.0,20.0,22.4,2.0,39.0,76.0,15.2,13.989281611290838,5.2,10.0,12.0,13.0,28.6,2.0,3.0,12.0,2.4,0.5477225575051661,2.0,2.0,2.0,3.0,3.0,0.0,6.0,10.0,2.0,2.4494897427831783,0.0,0.0,2.0,2.0,4.4,0.0,4.0,2.6,1.6733200530681511,0.8,2.0,3.0,4.0,4.0
2022-01-13,stars,004_1month,coq,q50 - q75,7,6.0,7.0,7.0,7.0,7.0,1.0,526.0,7368.0,22342.0,3191.714285714286,2361.3853077015137,720.4000000000001,1415.0,3310.0,4154.0,5568.000000000001,450.0,2262.0,1466.0,559.1746894605775,933.6000000000001,1348.0,1485.0,1684.5,2027.4,1.0,17.0,7.0,5.507570547286102,1.0,3.5,7.0,8.5,12.800000000000002,9.0,55.0,214.0,30.571428571428573,16.611814499096145,15.600000000000001,22.5,25.0,40.0,52.6,4.0,14.0,46.0,6.571428571428571,3.5523298860110977,4.0,4.5,5.0,7.0,10.400000000000002,0.0,13.0,39.0,5.571428571428571,4.720774754816659,0.0,2.0,6.0,8.0,10.600000000000001,0.0,8.0,5.0,3.696845502136473,0.0,2.0,7.0,8.0,8.0
2022-01-13,stars,004_1month,coq,q75 - q90,3,3.0,3.0,3.0,3.0,3.0,2.0,1606.0,4392.0,8130.0,2710.0,1480.2067423167616,1711.2,1869.0,2132.0,3262.0,3940.0,1302.0,2561.0,1888.3333333333333,633.9245486123198,1402.0,1552.0,1802.0,2181.5,2409.2,3.0,27.0,12.0,13.076696830622021,3.6,4.5,6.0,16.5,22.8,67.0,143.0,317.0,105.66666666666667,38.01753981168868,75.0,87.0,107.0,125.0,135.8,17.0,34.0,82.0,27.333333333333332,9.073771725877465,19.8,24.0,31.0,32.5,33.4,1.0,31.0,52.0,17.333333333333332,15.176736583776282,4.800000000000001,10.5,20.0,25.5,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13,stars,004_1month,coq,q90 <,3,3.0,3.0,3.0,3.0,3.0,1.0,1989.0,7459.0,12203.0,4067.6666666666665,2961.848296812876,2142.2,2372.0,2755.0,5107.0,6518.2,1325.0,3431.0,2502.0,1074.6799523579102,1610.0,2037.5,2750.0,3090.5,3294.8,0.0,1.0,0.3333333333333333,0.5773502691896258,0.0,0.0,0.0,0.5,0.8,108.0,610.0,877.0,292.3333333333333,276.2866868550371,118.2,133.5,159.0,384.5,519.8000000000001,39.0,52.0,131.0,43.666666666666664,7.234178138070234,39.2,39.5,40.0,46.0,49.6,2.0,42.0,62.0,20.666666666666668,20.132891827388665,5.2,10.0,18.0,30.0,37.2,0.0,13.0,5.333333333333333,6.8068592855540455,0.6000000000000001,1.5,3.0,8.0,11.0
2022-01-13,stars,004_1month,idris,q50 - q75,6,3.0,6.0,6.0,5.0,5.0,1.0,6.0,6542.0,7213.0,1202.1666666666667,2621.774240217236,7.0,18.0,94.0,386.75,3505.5,5.0,683.0,276.6666666666667,254.18628339599024,8.5,70.25,299.5,359.25,522.0,0.0,27.0,9.5,11.113055385446435,0.5,1.25,5.0,16.25,23.0,0.0,17.0,21.0,3.5,6.8044103344816,0.0,0.0,0.0,3.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,5.166666666666667,12.655697004379753,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13,stars,004_1month,idris,q90 <,2,2.0,2.0,2.0,2.0,2.0,1.0,463.0,1308.0,1771.0,885.5,597.5052301026327,547.5,674.25,885.5,1096.75,1223.5,445.0,476.0,460.5,21.920310216782973,448.1,452.75,460.5,468.25,472.9,1.0,5.0,3.0,2.8284271247461903,1.4,2.0,3.0,4.0,4.6,35.0,62.0,97.0,48.5,19.091883092036785,37.7,41.75,48.5,55.25,59.3,7.0,7.0,14.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0,0.0,2.0,2.0,1.0,1.4142135623730951,0.2,0.5,1.0,1.5,1.8,0.0,3.0,1.5,2.1213203435596424,0.30000000000000004,0.75,1.5,2.25,2.7
2022-01-13,stars,004_1month,isabelle,q50 - q75,5,2.0,5.0,5.0,5.0,5.0,1.0,6.0,202530.0,211553.0,42310.6,89593.84474560739,54.400000000000006,127.0,3661.0,5229.0,123609.60000000002,16.0,669.0,248.4,279.32651145209974,21.6,30.0,135.0,392.0,558.2,4.0,26.0,17.4,10.945318634009702,5.2,7.0,24.0,26.0,26.0,0.0,5.0,7.0,1.4,2.0736441353327724,0.0,0.0,1.0,1.0,3.4000000000000004,0.0,1.0,1.0,0.2,0.447213595499958,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.6,1.3416407864998738,0.0,0.0,0.0,0.0,1.8000000000000003
2022-01-13,stars,004_1month,isabelle,q75 - q90,1,0.0,1.0,1.0,0.0,0.0,0.0,623.0,623.0,623.0,623.0,,623.0,623.0,623.0,623.0,623.0,868.0,868.0,868.0,,868.0,868.0,868.0,868.0,868.0,22.0,22.0,22.0,,22.0,22.0,22.0,22.0,22.0,8.0,8.0,8.0,8.0,,8.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2022-01-13,stars,004_1month,isabelle,q90 <,1,1.0,1.0,1.0,0.0,0.0,0.0,66068.0,66068.0,66068.0,66068.0,,66068.0,66068.0,66068.0,66068.0,66068.0,2737.0,2737.0,2737.0,,2737.0,2737.0,2737.0,2737.0,2737.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,383.0,383.0,383.0,383.0,,383.0,383.0,383.0,383.0,383.0,81.0,81.0,81.0,81.0,,81.0,81.0,81.0,81.0,81.0,12.0,12.0,12.0,12.0,,12.0,12.0,12.0,12.0,12.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0
2022-01-13,stars,004_1month,lean,q25 - q50,5,1.0,5.0,5.0,5.0,5.0,1.0,18.0,1785.0,2110.0,422.0,764.5135708409629,32.0,53.0,69.0,185.0,1145.0,9.0,255.0,75.2,101.71135629810469,17.0,29.0,30.0,53.0,174.20000000000002,7.0,27.0,18.6,9.838699100999074,7.8,9.0,23.0,27.0,27.0,0.0,1.0,2.0,0.4,0.5477225575051661,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.8,1.788854381999832,0.0,0.0,0.0,0.0,2.4000000000000004
2022-01-13,stars,004_1month,lean,q50 - q75,3,1.0,3.0,3.0,3.0,3.0,0.0,74.0,437.0,920.0,306.6666666666667,201.98102221083377,141.0,241.5,409.0,423.0,431.4,325.0,1745.0,830.0,793.8356253028709,344.0,372.5,420.0,1082.5,1480.0,4.0,23.0,11.333333333333334,10.214368964029708,4.6,5.5,7.0,15.0,19.8,1.0,22.0,42.0,14.0,11.357816691600547,4.6,10.0,19.0,20.5,21.4,1.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.6666666666666666,1.1547005383792517,0.0,0.0,0.0,1.0,1.6,0.0,3.0,2.0,1.7320508075688772,0.6000000000000001,1.5,3.0,3.0,3.0
2022-01-13,stars,004_1month,lean,q75 - q90,1,0.0,1.0,1.0,0.0,0.0,1.0,81865.0,81865.0,81865.0,81865.0,,81865.0,81865.0,81865.0,81865.0,81865.0,181.0,181.0,181.0,,181.0,181.0,181.0,181.0,181.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
