ds,sortby,pushed,language,quantile,repo_count,repos_with_license,repos_with_issues,repos_with_downloads,repos_with_wiki,repos_with_projects,repos_with_pages,size_min,size_max,size_sum,size_avg,size_std,size_q10,size_q25,size_q50,size_q75,size_q90,days_since_create_min,days_since_create_max,days_since_create_avg,days_since_create_std,days_since_create_q10,days_since_create_q25,days_since_create_q50,days_since_create_q75,days_since_create_q90,days_since_push_min,days_since_push_max,days_since_push_avg,days_since_push_std,days_since_push_q10,days_since_push_q25,days_since_push_q50,days_since_push_q75,days_since_push_q90,stargazers_count_min,stargazers_count_max,stargazers_count_sum,stargazers_count_avg,stargazers_count_std,stargazers_count_q10,stargazers_count_q25,stargazers_count_q50,stargazers_count_q75,stargazers_count_q90,forks_count_min,forks_count_max,forks_count_sum,forks_count_avg,forks_count_std,forks_count_q10,forks_count_q25,forks_count_q50,forks_count_q75,forks_count_q90,open_issues_count_min,open_issues_count_max,open_issues_count_sum,open_issues_count_avg,open_issues_count_std,open_issues_count_q10,open_issues_count_q25,open_issues_count_q50,open_issues_count_q75,open_issues_count_q90,topics_count_min,topics_count_max,topics_count_avg,topics_count_std,topics_count_q10,topics_count_q25,topics_count_q50,topics_count_q75,topics_count_q90
2022-01-27,stars,004_1month,ada,< q10,1,1.0,1.0,1.0,1.0,1.0,0.0,258.0,258.0,258.0,258.0,,258.0,258.0,258.0,258.0,258.0,218.0,218.0,218.0,,218.0,218.0,218.0,218.0,218.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0
2022-01-27,stars,004_1month,ada,q10 - q25,5,3.0,5.0,5.0,2.0,4.0,0.0,394.0,24391.0,54324.0,10864.8,9176.19358448807,2124.4,4720.0,11492.0,13327.0,19965.4,69.0,1450.0,630.8,733.2848696107127,74.2,82.0,136.0,1417.0,1436.8,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,138.0,212.0,42.4,62.018545613388895,0.0,0.0,1.0,73.0,112.0,0.0,23.0,26.0,5.2,10.034938963441682,0.0,0.0,0.0,3.0,15.000000000000002,0.0,176.0,318.0,63.6,87.91359394314397,0.0,0.0,0.0,142.0,162.4,0.0,7.0,4.0,3.6742346141747673,0.0,0.0,6.0,7.0,7.0
2022-01-27,stars,004_1month,ada,q25 - q50,10,6.0,10.0,10.0,6.0,10.0,2.0,4.0,169782.0,381183.0,38118.3,62640.83664839663,1060.6,3048.5,7505.0,25712.0,143371.5,2.0,3278.0,1615.1,947.2851794001166,550.1,1071.25,1780.0,2200.25,2408.5999999999995,2.0,7.0,3.1,1.66332999331662,2.0,2.0,2.5,3.0,5.199999999999999,0.0,234.0,598.0,59.8,88.89544420272615,0.0,1.25,10.0,103.25,190.79999999999998,0.0,122.0,216.0,21.6,39.033319100481314,0.0,0.0,3.0,31.25,50.89999999999997,0.0,41.0,77.0,7.7,13.507611023254835,0.0,0.0,0.5,9.75,22.099999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-27,stars,004_1month,ada,q50 - q75,9,6.0,9.0,9.0,8.0,8.0,1.0,16.0,6754.0,20462.0,2273.5555555555557,2726.252698811645,17.6,62.0,768.0,3406.0,6325.2,10.0,2265.0,554.8888888888889,936.5677290570667,12.4,13.0,103.0,309.0,2156.2,8.0,17.0,11.555555555555555,3.0459444804161775,8.0,9.0,12.0,13.0,14.600000000000001,0.0,6.0,17.0,1.8888888888888888,2.4209731743889913,0.0,0.0,1.0,4.0,5.2,0.0,4.0,5.0,0.5555555555555556,1.3333333333333333,0.0,0.0,0.0,0.0,1.6000000000000005,0.0,3.0,3.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.6000000000000005,0.0,7.0,1.3333333333333333,2.692582403567252,0.0,0.0,0.0,0.0,5.4
2022-01-27,stars,004_1month,ada,q75 - q90,5,3.0,5.0,5.0,5.0,5.0,2.0,26.0,153084.0,222586.0,44517.2,66388.05518088325,336.40000000000003,802.0,4799.0,63875.0,117400.40000000001,18.0,2571.0,991.6,1050.758916212468,26.0,38.0,1120.0,1211.0,2027.0,18.0,21.0,19.6,1.1401754250991378,18.4,19.0,20.0,20.0,20.6,0.0,53.0,66.0,13.2,22.709029041330677,0.0,0.0,2.0,11.0,36.2,0.0,9.0,11.0,2.2,3.898717737923586,0.0,0.0,0.0,2.0,6.200000000000001,0.0,13.0,18.0,3.6,5.504543577809154,0.0,0.0,1.0,4.0,9.4,0.0,7.0,2.4,3.361547262794322,0.0,0.0,0.0,5.0,6.2
2022-01-27,stars,004_1month,ada,q90 <,4,4.0,4.0,4.0,4.0,4.0,0.0,397.0,11603.0,14478.0,3619.5,5343.228643183195,555.7,793.75,1239.0,4064.75,8587.7,749.0,2567.0,2042.0,872.1903461974341,1209.8000000000002,1901.0,2426.0,2567.0,2567.0,23.0,26.0,25.0,1.4142135623730951,23.6,24.5,25.5,26.0,26.0,11.0,26.0,70.0,17.5,6.244997998398399,12.5,14.75,16.5,19.25,23.3,1.0,3.0,7.0,1.75,0.9574271077563381,1.0,1.0,1.5,2.25,2.7,0.0,1.0,2.0,0.5,0.5773502691896257,0.0,0.0,0.5,1.0,1.0,5.0,7.0,6.0,0.816496580927726,5.3,5.75,6.0,6.25,6.7
2022-01-27,stars,004_1month,agda,< q10,2,1.0,2.0,2.0,2.0,2.0,0.0,3.0,9140.0,9143.0,4571.5,6460.834659701485,916.7,2287.25,4571.5,6855.75,8226.3,2.0,1452.0,727.0,1025.304832720494,147.0,364.5,727.0,1089.5,1307.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,88.0,88.0,44.0,62.22539674441618,8.8,22.0,44.0,66.0,79.2,0.0,15.0,15.0,7.5,10.606601717798213,1.5,3.75,7.5,11.25,13.5,0.0,4.0,4.0,2.0,2.8284271247461903,0.4,1.0,2.0,3.0,3.6,0.0,11.0,5.5,7.7781745930520225,1.1,2.75,5.5,8.25,9.9
2022-01-27,stars,004_1month,agda,q10 - q25,1,0.0,1.0,1.0,1.0,1.0,0.0,2387.0,2387.0,2387.0,2387.0,,2387.0,2387.0,2387.0,2387.0,2387.0,48.0,48.0,48.0,,48.0,48.0,48.0,48.0,48.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2022-01-27,stars,004_1month,agda,q25 - q50,3,1.0,3.0,3.0,3.0,3.0,0.0,8.0,4337.0,4384.0,1461.3333333333333,2490.448620898117,14.2,23.5,39.0,2188.0,3477.4,18.0,245.0,94.66666666666667,130.2011264672212,18.6,19.5,21.0,133.0,200.20000000000002,4.0,7.0,5.333333333333333,1.5275252316519468,4.2,4.5,5.0,6.0,6.6,0.0,1.0,1.0,0.3333333333333333,0.5773502691896258,0.0,0.0,0.0,0.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,4.666666666666667,8.082903768654761,0.0,0.0,0.0,7.0,11.200000000000001,0.0,4.0,1.3333333333333333,2.3094010767585034,0.0,0.0,0.0,2.0,3.2
2022-01-27,stars,004_1month,agda,q50 - q75,3,0.0,3.0,3.0,3.0,3.0,0.0,4.0,6927.0,7165.0,2388.3333333333335,3932.2825856407285,50.0,119.0,234.0,3580.5,5588.400000000001,9.0,219.0,141.0,114.9434643640081,46.2,102.0,195.0,207.0,214.2,9.0,17.0,13.666666666666666,4.163331998932265,10.2,12.0,15.0,16.0,16.6,0.0,74.0,74.0,24.666666666666668,42.72391992003231,0.0,0.0,0.0,37.0,59.2,0.0,5.0,5.0,1.6666666666666667,2.8867513459481287,0.0,0.0,0.0,2.5,4.0,0.0,1.0,1.0,0.3333333333333333,0.5773502691896258,0.0,0.0,0.0,0.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
