ds,sortby,pushed,language,repo_count,repo_data_count
2022-03-24,stars,004_1month,ada,33,33
2022-03-24,stars,004_1month,coq,28,28
2022-03-24,stars,004_1month,sml,14,14
2022-03-24,stars,004_1month,lean,9,9
2022-03-24,stars,004_1month,agda,7,7
2022-03-24,stars,004_1month,idris,6,6
2022-03-24,stars,004_1month,isabelle,6,6
2022-03-24,stars,004_1month,tla,4,4
2022-03-24,stars,013_3month,coq,63,63
2022-03-24,stars,013_3month,ada,60,60
2022-03-24,stars,013_3month,sml,35,35
2022-03-24,stars,013_3month,agda,22,22
2022-03-24,stars,013_3month,lean,20,20
2022-03-24,stars,013_3month,isabelle,14,14
2022-03-24,stars,013_3month,idris,10,10
2022-03-24,stars,013_3month,tla,6,6
2022-03-24,stars,026_6month,coq,89,89
2022-03-24,stars,026_6month,ada,84,84
2022-03-24,stars,026_6month,sml,56,56
2022-03-24,stars,026_6month,agda,31,31
2022-03-24,stars,026_6month,lean,30,30
2022-03-24,stars,026_6month,isabelle,24,24
2022-03-24,stars,026_6month,idris,18,18
2022-03-24,stars,026_6month,tla,10,10
2022-03-24,stars,052_1year,ada,122,122
2022-03-24,stars,052_1year,coq,121,121
2022-03-24,stars,052_1year,sml,105,105
2022-03-24,stars,052_1year,agda,46,46
2022-03-24,stars,052_1year,lean,44,44
2022-03-24,stars,052_1year,isabelle,34,34
2022-03-24,stars,052_1year,idris,27,27
2022-03-24,stars,052_1year,tla,20,20
2022-03-24,stars,156_3year,coq,326,326
2022-03-24,stars,156_3year,ada,256,256
2022-03-24,stars,156_3year,sml,235,235
2022-03-24,stars,156_3year,agda,108,108
2022-03-24,stars,156_3year,lean,77,77
2022-03-24,stars,156_3year,isabelle,61,61
2022-03-24,stars,156_3year,idris,56,56
2022-03-24,stars,156_3year,tla,47,47
2022-03-24,stars,alltime,coq,522,522
2022-03-24,stars,alltime,ada,453,453
2022-03-24,stars,alltime,sml,433,433
2022-03-24,stars,alltime,agda,200,200
2022-03-24,stars,alltime,idris,142,142
2022-03-24,stars,alltime,isabelle,97,97
2022-03-24,stars,alltime,lean,85,85
2022-03-24,stars,alltime,tla,66,66
