ds,sortby,pushed,language,quantile,repo_count,repos_with_license,repos_with_issues,repos_with_downloads,repos_with_wiki,repos_with_projects,repos_with_pages,size_min,size_max,size_sum,size_avg,size_std,size_q10,size_q25,size_q50,size_q75,size_q90,days_since_create_min,days_since_create_max,days_since_create_avg,days_since_create_std,days_since_create_q10,days_since_create_q25,days_since_create_q50,days_since_create_q75,days_since_create_q90,days_since_push_min,days_since_push_max,days_since_push_avg,days_since_push_std,days_since_push_q10,days_since_push_q25,days_since_push_q50,days_since_push_q75,days_since_push_q90,stargazers_count_min,stargazers_count_max,stargazers_count_sum,stargazers_count_avg,stargazers_count_std,stargazers_count_q10,stargazers_count_q25,stargazers_count_q50,stargazers_count_q75,stargazers_count_q90,forks_count_min,forks_count_max,forks_count_sum,forks_count_avg,forks_count_std,forks_count_q10,forks_count_q25,forks_count_q50,forks_count_q75,forks_count_q90,open_issues_count_min,open_issues_count_max,open_issues_count_sum,open_issues_count_avg,open_issues_count_std,open_issues_count_q10,open_issues_count_q25,open_issues_count_q50,open_issues_count_q75,open_issues_count_q90,topics_count_min,topics_count_max,topics_count_avg,topics_count_std,topics_count_q10,topics_count_q25,topics_count_q50,topics_count_q75,topics_count_q90
2022-08-04,stars,004_1month,ada,q50 - q75,29,21.0,28.0,29.0,19.0,24.0,1.0,6.0,27110.0,125076.0,4312.9655172413795,6090.07097356461,40.2,197.0,1025.0,6765.0,11188.8,1.0,2756.0,661.9655172413793,891.417670373539,16.8,49.0,258.0,640.0,2209.2,1.0,27.0,9.793103448275861,8.5204766396891,1.0,2.0,5.0,17.0,21.4,0.0,29.0,107.0,3.689655172413793,6.835325513598258,0.0,0.0,1.0,3.0,12.199999999999996,0.0,6.0,16.0,0.5517241379310345,1.3252009792737027,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.13793103448275862,0.35093120317179827,0.0,0.0,0.0,0.0,1.0,0.0,11.0,2.4827586206896552,3.491015914920269,0.0,0.0,0.0,6.0,7.0
2022-08-04,stars,004_1month,ada,q75 - q90,7,7.0,7.0,7.0,4.0,7.0,2.0,918.0,19162.0,70548.0,10078.285714285714,7449.124752038227,1746.0,4014.0,11623.0,15408.5,19149.4,4.0,4157.0,2031.7142857142858,1721.446844400151,88.60000000000002,472.5,2501.0,3307.5,3975.8,0.0,7.0,2.4285714285714284,2.1491969707422394,1.2000000000000002,2.0,2.0,2.0,4.000000000000002,2.0,191.0,423.0,60.42857142857143,63.77004820147973,4.4,23.0,48.0,68.0,124.40000000000003,0.0,124.0,162.0,23.142857142857142,44.77137691065789,0.6000000000000001,3.0,7.0,12.5,58.60000000000004,2.0,13.0,31.0,4.428571428571429,3.8668308667927223,2.0,2.5,3.0,4.0,7.600000000000003,0.0,12.0,3.2857142857142856,4.715728494951256,0.0,0.0,0.0,5.5,9.000000000000002
2022-08-04,stars,004_1month,ada,q90 <,5,4.0,5.0,5.0,3.0,5.0,1.0,4711.0,133644.0,282953.0,56590.6,61588.022072477695,5245.8,6048.0,26454.0,112096.0,125024.8,1400.0,2156.0,1742.8,294.407370831642,1482.4,1606.0,1639.0,1913.0,2058.8,1.0,12.0,3.2,4.919349550499538,1.0,1.0,1.0,1.0,7.600000000000001,21.0,260.0,684.0,136.8,89.84542281051384,46.6,85.0,155.0,163.0,221.20000000000002,2.0,45.0,120.0,24.0,20.29778313018444,3.2,5.0,25.0,43.0,44.2,14.0,223.0,490.0,98.0,95.12360380052893,21.2,32.0,44.0,177.0,204.6,0.0,7.0,3.8,3.492849839314596,0.0,0.0,6.0,6.0,6.6
2022-08-04,stars,004_1month,agda,q50 - q75,4,1.0,4.0,4.0,4.0,4.0,0.0,19.0,152.0,402.0,100.5,58.96043871388114,42.400000000000006,77.5,115.5,138.5,146.6,38.0,482.0,165.75,211.4243363475454,47.900000000000006,62.75,71.5,174.5,359.00000000000006,2.0,21.0,14.0,9.055385138137417,5.0,9.5,16.5,21.0,21.0,0.0,2.0,2.0,0.5,1.0,0.0,0.0,0.0,0.5,1.4000000000000004,0.0,1.0,1.0,0.25,0.5,0.0,0.0,0.0,0.25,0.7000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.5,3.0,0.0,0.0,2.0,4.5,5.4
2022-08-04,stars,004_1month,agda,q75 - q90,1,1.0,1.0,1.0,1.0,1.0,0.0,10335.0,10335.0,10335.0,10335.0,,10335.0,10335.0,10335.0,10335.0,10335.0,1641.0,1641.0,1641.0,,1641.0,1641.0,1641.0,1641.0,1641.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,111.0,111.0,111.0,111.0,,111.0,111.0,111.0,111.0,111.0,18.0,18.0,18.0,18.0,,18.0,18.0,18.0,18.0,18.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,11.0,11.0,11.0,,11.0,11.0,11.0,11.0,11.0
2022-08-04,stars,004_1month,agda,q90 <,1,0.0,1.0,1.0,1.0,1.0,0.0,2039.0,2039.0,2039.0,2039.0,,2039.0,2039.0,2039.0,2039.0,2039.0,434.0,434.0,434.0,,434.0,434.0,434.0,434.0,434.0,11.0,11.0,11.0,,11.0,11.0,11.0,11.0,11.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,,15.0,15.0,15.0,15.0,15.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0
2022-08-04,stars,004_1month,coq,q50 - q75,22,14.0,22.0,22.0,22.0,22.0,2.0,11.0,113333.0,313688.0,14258.545454545454,33290.659880923944,34.300000000000004,112.5,833.0,5129.75,37454.400000000045,11.0,2953.0,897.5909090909091,1044.8224118453684,20.0,45.25,550.0,1633.25,2811.000000000002,1.0,27.0,12.772727272727273,8.64612116821244,2.0,4.25,11.5,20.75,23.0,0.0,644.0,1014.0,46.09090909090909,139.08507471565025,0.0,0.0,0.5,17.0,104.40000000000018,0.0,55.0,124.0,5.636363636363637,12.377188905191888,0.0,0.0,0.5,4.75,16.400000000000013,0.0,1.0,3.0,0.13636363636363635,0.35125008665710444,0.0,0.0,0.0,0.0,0.9000000000000021,0.0,13.0,2.1818181818181817,3.318582078687675,0.0,0.0,0.0,4.0,5.900000000000002
2022-08-04,stars,004_1month,coq,q75 - q90,3,2.0,3.0,3.0,2.0,2.0,1.0,136.0,18050.0,18676.0,6225.333333333333,10241.99127774152,206.8,313.0,490.0,9270.0,14538.0,577.0,1103.0,905.6666666666666,286.5402822175851,669.0,807.0,1037.0,1070.0,1089.8,1.0,24.0,12.666666666666666,11.50362261782493,3.4000000000000004,7.0,13.0,18.5,21.8,0.0,64.0,126.0,42.0,36.38681079732051,12.4,31.0,62.0,63.0,63.6,0.0,15.0,21.0,7.0,7.54983443527075,1.2000000000000002,3.0,6.0,10.5,13.200000000000001,2.0,3.0,7.0,2.3333333333333335,0.5773502691896258,2.0,2.0,2.0,2.5,2.8,4.0,7.0,5.333333333333333,1.5275252316519465,4.2,4.5,5.0,6.0,6.6
2022-08-04,stars,004_1month,coq,q90 <,6,5.0,6.0,6.0,6.0,6.0,2.0,1330.0,50312.0,81376.0,13562.666666666666,18802.65987212093,1735.5,2696.75,5620.5,13983.25,33332.0,653.0,3634.0,1583.6666666666667,1069.8423559883327,830.5,1012.0,1276.0,1623.25,2644.5,1.0,23.0,8.833333333333334,7.730890418746515,2.0,4.25,8.0,9.5,16.5,11.0,197.0,399.0,66.5,73.90196208491355,15.0,20.5,29.5,93.25,155.0,2.0,43.0,110.0,18.333333333333332,18.75810935746635,2.5,4.25,10.5,34.0,42.0,4.0,43.0,80.0,13.333333333333334,15.513435037626795,4.0,4.0,5.5,15.25,30.5,0.0,8.0,2.5,3.2093613071762426,0.0,0.0,1.5,3.75,6.0
2022-08-04,stars,004_1month,idris,q50 - q75,3,2.0,2.0,3.0,2.0,2.0,0.0,32.0,2231.0,2675.0,891.6666666666666,1175.3554072421384,108.0,222.0,412.0,1321.5,1867.2,17.0,248.0,143.66666666666666,117.1082120661627,46.8,91.5,166.0,207.0,231.6,3.0,17.0,12.0,7.810249675906654,5.6,9.5,16.0,16.5,16.8,0.0,61.0,62.0,20.666666666666668,34.93326972004386,0.2,0.5,1.0,31.0,49.0,0.0,9.0,9.0,3.0,5.196152422706632,0.0,0.0,0.0,4.5,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
