ds,sortby,pushed,language,quantile,repo_count,repos_with_license,repos_with_issues,repos_with_downloads,repos_with_wiki,repos_with_projects,repos_with_pages,size_min,size_max,size_sum,size_avg,size_std,size_q10,size_q25,size_q50,size_q75,size_q90,days_since_create_min,days_since_create_max,days_since_create_avg,days_since_create_std,days_since_create_q10,days_since_create_q25,days_since_create_q50,days_since_create_q75,days_since_create_q90,days_since_push_min,days_since_push_max,days_since_push_avg,days_since_push_std,days_since_push_q10,days_since_push_q25,days_since_push_q50,days_since_push_q75,days_since_push_q90,stargazers_count_min,stargazers_count_max,stargazers_count_sum,stargazers_count_avg,stargazers_count_std,stargazers_count_q10,stargazers_count_q25,stargazers_count_q50,stargazers_count_q75,stargazers_count_q90,forks_count_min,forks_count_max,forks_count_sum,forks_count_avg,forks_count_std,forks_count_q10,forks_count_q25,forks_count_q50,forks_count_q75,forks_count_q90,open_issues_count_min,open_issues_count_max,open_issues_count_sum,open_issues_count_avg,open_issues_count_std,open_issues_count_q10,open_issues_count_q25,open_issues_count_q50,open_issues_count_q75,open_issues_count_q90,topics_count_min,topics_count_max,topics_count_avg,topics_count_std,topics_count_q10,topics_count_q25,topics_count_q50,topics_count_q75,topics_count_q90
2022-08-18,stars,004_1month,ada,< q10,4,2.0,4.0,4.0,4.0,4.0,0.0,6.0,19141.0,30212.0,7553.0,8215.462535162987,1291.8000000000002,3220.5,5532.5,9865.0,15430.600000000002,15.0,20.0,17.75,2.0615528128088303,15.9,17.25,18.0,18.5,19.4,2.0,15.0,11.0,6.0553007081949835,5.300000000000001,10.25,13.5,14.25,14.7,0.0,2.0,3.0,0.75,0.9574271077563381,0.0,0.0,0.5,1.25,1.7000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.75,0.9574271077563382,0.0,0.0,0.5,1.25,1.7000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-18,stars,004_1month,ada,q10 - q25,5,5.0,5.0,5.0,4.0,4.0,0.0,46.0,9874.0,11950.0,2390.0,4195.7180553511935,204.4,442.0,688.0,900.0,6284.4000000000015,44.0,198.0,127.8,57.395121743925245,71.2,112.0,126.0,159.0,182.4,2.0,22.0,13.0,9.273618495495704,2.8,4.0,18.0,19.0,20.8,0.0,8.0,9.0,1.8,3.492849839314596,0.0,0.0,0.0,1.0,5.200000000000001,0.0,1.0,1.0,0.2,0.447213595499958,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,3.0,3.0,0.6,1.3416407864998738,0.0,0.0,0.0,0.0,1.8000000000000003,0.0,7.0,2.6,3.5777087639996634,0.0,0.0,0.0,6.0,6.6
2022-08-18,stars,004_1month,ada,q25 - q50,8,8.0,7.0,8.0,1.0,4.0,0.0,25.0,10719.0,25388.0,3173.5,4280.00400533858,38.300000000000004,158.75,361.0,6799.25,8061.799999999999,216.0,528.0,376.375,140.08358474241624,217.4,258.5,385.5,497.5,518.2,4.0,27.0,18.125,7.567552916422662,8.9,16.25,19.0,22.25,26.3,0.0,29.0,48.0,6.0,9.561828874675149,0.7000000000000001,1.0,2.5,6.0,12.899999999999995,0.0,2.0,2.0,0.25,0.7071067811865476,0.0,0.0,0.0,0.0,0.5999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.875,3.603074084326168,0.0,0.0,2.0,4.25,6.499999999999999
2022-08-18,stars,004_1month,ada,q50 - q75,8,7.0,8.0,8.0,5.0,8.0,3.0,2298.0,112100.0,166544.0,20818.0,37700.187767626376,3274.5,4269.75,5394.0,11593.25,52262.599999999984,814.0,1927.0,1377.375,356.4306935235997,973.6,1216.0,1344.5,1628.25,1735.2,0.0,16.0,3.875,5.330170192940773,0.7000000000000001,1.0,2.0,3.25,9.7,0.0,169.0,475.0,59.375,69.19318195148585,0.7000000000000001,2.5,31.5,102.25,158.5,0.0,46.0,90.0,11.25,16.342320170998626,0.0,1.5,5.0,11.0,31.999999999999996,0.0,220.0,434.0,54.25,91.34667090657594,0.0,0.0,8.5,56.75,193.4,0.0,7.0,2.625,3.1594529363709247,0.0,0.0,1.0,6.0,6.3
2022-08-18,stars,004_1month,ada,q75 - q90,5,3.0,5.0,5.0,3.0,5.0,0.0,1375.0,134142.0,169491.0,33898.2,56526.06036334037,1721.0,2240.0,12572.0,19162.0,88150.0,2039.0,2515.0,2273.8,214.24682027978852,2086.2,2157.0,2170.0,2488.0,2504.2,1.0,26.0,12.0,11.20267825120404,1.4,2.0,10.0,21.0,24.0,0.0,260.0,478.0,95.6,121.60921017751905,3.2,8.0,18.0,192.0,232.8,0.0,124.0,171.0,34.2,53.546241698180836,0.4,1.0,2.0,44.0,92.0,0.0,45.0,60.0,12.0,19.209372712298546,0.4,1.0,1.0,13.0,32.2,0.0,11.0,3.4,4.979959839195493,0.0,0.0,0.0,6.0,9.0
2022-08-18,stars,004_1month,ada,q90 <,4,4.0,4.0,4.0,4.0,4.0,0.0,1027.0,11638.0,29798.0,7449.5,5079.049418936579,2437.6000000000004,4553.5,8566.5,11462.5,11567.8,2770.0,4171.0,3121.25,699.835873616093,2770.0,2770.0,2772.0,3123.25,3751.9,11.0,12.0,11.75,0.5000000000000001,11.3,11.75,12.0,12.0,12.0,11.0,56.0,132.0,33.0,22.315913604421397,12.8,15.5,32.5,50.0,53.6,2.0,10.0,22.0,5.5,3.696845502136473,2.3,2.75,5.0,7.75,9.100000000000001,1.0,4.0,10.0,2.5,1.7320508075688772,1.0,1.0,2.5,4.0,4.0,6.0,12.0,8.0,2.70801280154532,6.3,6.75,7.0,8.25,10.5
2022-08-18,stars,004_1month,agda,< q10,1,0.0,1.0,1.0,1.0,1.0,0.0,97.0,97.0,97.0,97.0,,97.0,97.0,97.0,97.0,97.0,86.0,86.0,86.0,,86.0,86.0,86.0,86.0,86.0,26.0,26.0,26.0,,26.0,26.0,26.0,26.0,26.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0
2022-08-18,stars,004_1month,agda,q10 - q25,1,0.0,1.0,1.0,0.0,1.0,0.0,635.0,635.0,635.0,635.0,,635.0,635.0,635.0,635.0,635.0,130.0,130.0,130.0,,130.0,130.0,130.0,130.0,130.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2022-08-18,stars,004_1month,agda,q25 - q50,1,0.0,1.0,1.0,1.0,1.0,0.0,2058.0,2058.0,2058.0,2058.0,,2058.0,2058.0,2058.0,2058.0,2058.0,448.0,448.0,448.0,,448.0,448.0,448.0,448.0,448.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,,15.0,15.0,15.0,15.0,15.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0
2022-08-18,stars,004_1month,agda,q50 - q75,1,1.0,1.0,1.0,1.0,1.0,0.0,152.0,152.0,152.0,152.0,,152.0,152.0,152.0,152.0,152.0,496.0,496.0,496.0,,496.0,496.0,496.0,496.0,496.0,16.0,16.0,16.0,,16.0,16.0,16.0,16.0,16.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0
