ds,sortby,pushed,language,license_key,repo_count,repos_with_license,repos_with_issues,repos_with_downloads,repos_with_wiki,repos_with_projects,repos_with_pages,size_min,size_max,size_sum,size_avg,size_std,size_q10,size_q25,size_q50,size_q75,size_q90,days_since_create_min,days_since_create_max,days_since_create_avg,days_since_create_std,days_since_create_q10,days_since_create_q25,days_since_create_q50,days_since_create_q75,days_since_create_q90,days_since_push_min,days_since_push_max,days_since_push_avg,days_since_push_std,days_since_push_q10,days_since_push_q25,days_since_push_q50,days_since_push_q75,days_since_push_q90,stargazers_count_min,stargazers_count_max,stargazers_count_sum,stargazers_count_avg,stargazers_count_std,stargazers_count_q10,stargazers_count_q25,stargazers_count_q50,stargazers_count_q75,stargazers_count_q90,forks_count_min,forks_count_max,forks_count_sum,forks_count_avg,forks_count_std,forks_count_q10,forks_count_q25,forks_count_q50,forks_count_q75,forks_count_q90,open_issues_count_min,open_issues_count_max,open_issues_count_sum,open_issues_count_avg,open_issues_count_std,open_issues_count_q10,open_issues_count_q25,open_issues_count_q50,open_issues_count_q75,open_issues_count_q90,topics_count_min,topics_count_max,topics_count_avg,topics_count_std,topics_count_q10,topics_count_q25,topics_count_q50,topics_count_q75,topics_count_q90
2022-12-15,stars,004_1month,ada,,8,0.0,8.0,8.0,7.0,8.0,0.0,0.0,208484.0,347070.0,43383.75,80772.6488356583,3.5000000000000004,86.0,287.5,37814.25,154392.9,5.0,2289.0,506.625,863.466259991007,5.7,14.25,20.5,574.75,1661.7999999999997,1.0,22.0,10.75,7.573449864965296,3.8000000000000003,5.75,8.0,17.5,19.9,0.0,296.0,298.0,37.25,104.55313071762673,0.0,0.0,0.0,0.5,90.19999999999995,0.0,47.0,54.0,6.75,16.446884203398525,0.0,0.0,0.0,1.75,18.999999999999993,0.0,58.0,58.0,7.25,20.50609665440988,0.0,0.0,0.0,0.0,17.39999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-15,stars,004_1month,ada,agpl-3.0,1,1.0,1.0,1.0,0.0,1.0,1.0,28397.0,28397.0,28397.0,28397.0,,28397.0,28397.0,28397.0,28397.0,28397.0,1772.0,1772.0,1772.0,,1772.0,1772.0,1772.0,1772.0,1772.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,92.0,92.0,92.0,92.0,,92.0,92.0,92.0,92.0,92.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,9.0,9.0,206.0,206.0,206.0,206.0,,206.0,206.0,206.0,206.0,206.0,11.0,11.0,11.0,,11.0,11.0,11.0,11.0,11.0
2022-12-15,stars,004_1month,ada,apache-2.0,5,5.0,5.0,5.0,4.0,5.0,1.0,16.0,11417.0,20985.0,4197.0,4583.093224013668,424.0,1036.0,2773.0,5743.0,9147.400000000001,1.0,2893.0,1921.0,1367.605206190734,373.8,933.0,2889.0,2889.0,2891.4,1.0,19.0,10.6,6.5038450166036395,4.2,9.0,12.0,12.0,16.2,1.0,57.0,129.0,25.8,23.34951819631403,5.0,11.0,17.0,43.0,51.4,0.0,11.0,21.0,4.2,4.207136793592526,0.8,2.0,3.0,5.0,8.600000000000001,0.0,6.0,9.0,1.8,2.3874672772626644,0.4,1.0,1.0,1.0,4.0,0.0,7.0,4.0,3.6742346141747673,0.0,0.0,6.0,7.0,7.0
2022-12-15,stars,004_1month,ada,bsd-3-clause,7,7.0,7.0,7.0,3.0,7.0,0.0,271.0,19170.0,55032.0,7861.714285714285,7008.153482772423,408.40000000000003,1581.5,9879.0,11274.5,14762.400000000003,262.0,2634.0,823.0,843.0136416452584,295.0,360.5,458.0,843.0,1696.2000000000005,3.0,19.0,10.285714285714286,7.454624643228429,3.0,3.0,10.0,17.0,19.0,0.0,202.0,253.0,36.142857142857146,74.30663624788966,0.0,0.0,2.0,24.5,102.40000000000006,0.0,134.0,138.0,19.714285714285715,50.407387969470925,0.0,0.0,0.0,2.0,55.40000000000005,0.0,12.0,19.0,2.7142857142857144,4.644505202002531,0.0,0.0,0.0,3.5,8.400000000000002,0.0,5.0,1.1428571428571428,2.0354009783964297,0.0,0.0,0.0,1.5,3.8000000000000007
2022-12-15,stars,004_1month,ada,gpl-3.0,5,5.0,5.0,5.0,5.0,5.0,0.0,361.0,14439.0,32265.0,6453.0,5086.153114093205,2170.2,4884.0,6100.0,6481.0,11255.800000000001,85.0,2451.0,1695.8,935.8336924902843,746.6,1739.0,2046.0,2158.0,2333.8,1.0,21.0,5.6,8.648699324175862,1.0,1.0,2.0,3.0,13.8,1.0,193.0,379.0,75.8,99.45199847162449,1.0,1.0,8.0,176.0,186.2,0.0,51.0,85.0,17.0,23.366642891095847,0.0,0.0,2.0,32.0,43.400000000000006,0.0,228.0,256.0,51.2,99.5072861653859,0.0,0.0,1.0,27.0,147.60000000000002,0.0,7.0,2.6,3.5777087639996634,0.0,0.0,0.0,6.0,6.6
2022-12-15,stars,004_1month,ada,mit,2,2.0,2.0,2.0,2.0,2.0,0.0,15.0,3672.0,3687.0,1843.5,2585.8894987992044,380.70000000000005,929.25,1843.5,2757.75,3306.3,17.0,56.0,36.5,27.577164466275352,20.9,26.75,36.5,46.25,52.1,17.0,22.0,19.5,3.5355339059327378,17.5,18.25,19.5,20.75,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-15,stars,004_1month,ada,other,2,2.0,2.0,2.0,1.0,2.0,1.0,63.0,4937.0,5000.0,2500.0,3446.4384515032325,550.4000000000001,1281.5,2500.0,3718.5,4449.6,231.0,1394.0,812.5,822.3651865199548,347.3,521.75,812.5,1103.25,1277.7,1.0,23.0,12.0,15.556349186104045,3.2,6.5,12.0,17.5,20.8,0.0,3.0,3.0,1.5,2.1213203435596424,0.30000000000000004,0.75,1.5,2.25,2.7,0.0,6.0,6.0,3.0,4.242640687119285,0.6000000000000001,1.5,3.0,4.5,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,4.242640687119285,0.6000000000000001,1.5,3.0,4.5,5.4
2022-12-15,stars,004_1month,agda,,6,0.0,6.0,6.0,5.0,6.0,0.0,4.0,1541.0,2376.0,396.0,612.9019497440026,11.5,19.25,80.5,523.5,1096.0,4.0,2352.0,663.0,955.9234278957703,6.5,31.25,173.5,1011.75,1809.0,4.0,23.0,11.833333333333334,7.250287350627331,5.5,7.25,9.5,16.25,20.5,0.0,38.0,45.0,7.5,15.043270920913443,0.0,0.0,1.5,3.75,21.0,0.0,1.0,1.0,0.16666666666666666,0.408248290463863,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-15,stars,004_1month,agda,bsd-2-clause,1,1.0,1.0,1.0,1.0,1.0,0.0,46.0,46.0,46.0,46.0,,46.0,46.0,46.0,46.0,46.0,48.0,48.0,48.0,,48.0,48.0,48.0,48.0,48.0,18.0,18.0,18.0,,18.0,18.0,18.0,18.0,18.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2022-12-15,stars,004_1month,agda,gpl-3.0,1,1.0,1.0,1.0,1.0,1.0,0.0,10803.0,10803.0,10803.0,10803.0,,10803.0,10803.0,10803.0,10803.0,10803.0,1774.0,1774.0,1774.0,,1774.0,1774.0,1774.0,1774.0,1774.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,133.0,133.0,133.0,133.0,,133.0,133.0,133.0,133.0,133.0,19.0,19.0,19.0,19.0,,19.0,19.0,19.0,19.0,19.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,11.0,11.0,11.0,,11.0,11.0,11.0,11.0,11.0
