ds,language,topic,repo_count
2022-01-01,ada,ada,5
2022-01-01,coq,coq,3
2022-01-01,coq,mathcomp,3
2022-01-01,coq,ssreflect,3
2022-01-01,coq,math-comp,2
2022-01-01,elixir,elixir,50
2022-01-01,elixir,phoenix,17
2022-01-01,elixir,elixir-lang,7
2022-01-01,elixir,nerves,4
2022-01-01,elixir,api,3
2022-01-01,elixir,docker,3
2022-01-01,elixir,elixir-library,3
2022-01-01,elixir,elixir-phoenix,3
2022-01-01,elixir,hacktoberfest,3
2022-01-01,elixir,json,3
2022-01-01,elixir,liveview,3
2022-01-01,elixir,otp,3
2022-01-01,elixir,phoenix-framework,3
2022-01-01,elixir,tailwindcss,3
2022-01-01,elixir,telegram,3
2022-01-01,elixir,actor-model,2
2022-01-01,elixir,algorithms,2
2022-01-01,elixir,authentication,2
2022-01-01,elixir,bot,2
2022-01-01,elixir,cloud,2
2022-01-01,elixir,cryptocurrency,2
2022-01-01,elixir,data-science,2
2022-01-01,elixir,docker-compose,2
2022-01-01,elixir,ecto,2
2022-01-01,elixir,grafana,2
2022-01-01,elixir,membrane,2
2022-01-01,elixir,raspberry-pi,2
2022-01-01,elixir,real-time,2
2022-01-01,elixir,telegram-bot,2
2022-01-01,elixir,trading,2
2022-01-01,elixir,webassembly,2
2022-01-01,elixir,website,2
2022-01-01,erlang,erlang,11
2022-01-01,erlang,hacktoberfest,4
2022-01-01,erlang,aws,3
2022-01-01,erlang,xmpp,3
2022-01-01,erlang,chat,2
2022-01-01,erlang,distributed,2
2022-01-01,erlang,erlang-library,2
2022-01-01,erlang,jabber,2
2022-01-01,erlang,messaging,2
2022-01-01,go,golang,311
2022-01-01,go,go,230
2022-01-01,go,kubernetes,124
2022-01-01,go,hacktoberfest,83
2022-01-01,go,docker,51
2022-01-01,go,cli,36
2022-01-01,go,security,32
2022-01-01,go,containers,29
2022-01-01,go,blockchain,26
2022-01-01,go,cloud-native,26
2022-01-01,go,linux,25
2022-01-01,go,k8s,24
2022-01-01,go,postgresql,24
2022-01-01,go,monitoring,22
2022-01-01,go,database,21
2022-01-01,go,microservice,21
2022-01-01,go,devops,20
2022-01-01,go,prometheus,20
