ds,sortby,pushed,language,quantile,repo_count,repos_with_license,repos_with_issues,repos_with_downloads,repos_with_wiki,repos_with_projects,repos_with_pages,size_min,size_max,size_sum,size_avg,size_std,size_q10,size_q25,size_q50,size_q75,size_q90,days_since_create_min,days_since_create_max,days_since_create_avg,days_since_create_std,days_since_create_q10,days_since_create_q25,days_since_create_q50,days_since_create_q75,days_since_create_q90,days_since_push_min,days_since_push_max,days_since_push_avg,days_since_push_std,days_since_push_q10,days_since_push_q25,days_since_push_q50,days_since_push_q75,days_since_push_q90,stargazers_count_min,stargazers_count_max,stargazers_count_sum,stargazers_count_avg,stargazers_count_std,stargazers_count_q10,stargazers_count_q25,stargazers_count_q50,stargazers_count_q75,stargazers_count_q90,forks_count_min,forks_count_max,forks_count_sum,forks_count_avg,forks_count_std,forks_count_q10,forks_count_q25,forks_count_q50,forks_count_q75,forks_count_q90,open_issues_count_min,open_issues_count_max,open_issues_count_sum,open_issues_count_avg,open_issues_count_std,open_issues_count_q10,open_issues_count_q25,open_issues_count_q50,open_issues_count_q75,open_issues_count_q90,topics_count_min,topics_count_max,topics_count_avg,topics_count_std,topics_count_q10,topics_count_q25,topics_count_q50,topics_count_q75,topics_count_q90
2022-01-20,stars,001_1week,ada,q25 - q50,7,6.0,7.0,7.0,4.0,6.0,1.0,323.0,140090.0,210592.0,30084.571428571428,49620.92408738187,2172.8,4812.0,8519.0,26018.0,72766.40000000004,62.0,2258.0,1534.142857142857,767.4032900136731,663.8000000000001,1254.0,1829.0,2041.0,2176.4,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,232.0,323.0,46.142857142857146,85.97951029446604,1.0,1.5,6.0,40.5,136.60000000000005,0.0,43.0,55.0,7.857142857142857,15.63573440795764,0.0,0.0,3.0,4.5,20.200000000000014,0.0,169.0,211.0,30.142857142857142,63.09101513271276,0.0,0.0,0.0,21.0,92.20000000000005,0.0,7.0,3.0,3.7416573867739418,0.0,0.0,0.0,7.0,7.0
2022-01-20,stars,001_1week,ada,q50 - q75,5,5.0,5.0,5.0,5.0,5.0,0.0,18.0,6754.0,17086.0,3417.2,3166.3450854257812,35.6,62.0,4728.0,5524.0,6262.0,3.0,1717.0,653.2,839.6104453852394,4.2,6.0,130.0,1410.0,1594.2,2.0,5.0,3.0,1.224744871391589,2.0,2.0,3.0,3.0,4.2,0.0,138.0,266.0,53.2,72.9328458240867,0.0,0.0,0.0,128.0,134.0,0.0,40.0,63.0,12.6,18.270194306574847,0.0,0.0,0.0,23.0,33.2,0.0,137.0,157.0,31.4,59.66405953335727,0.0,0.0,0.0,20.0,90.20000000000002,0.0,6.0,1.2,2.6832815729997477,0.0,0.0,0.0,0.0,3.6000000000000005
2022-01-20,stars,001_1week,ada,q90 <,4,3.0,4.0,4.0,2.0,3.0,1.0,16.0,169780.0,175058.0,43764.5,84020.17682080893,665.8000000000001,1640.5,2631.0,44755.0,119770.00000000003,6.0,2271.0,722.25,1070.1677049260395,6.6,7.5,306.0,1020.75,1770.9000000000003,6.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,0.0,26.0,43.0,10.75,11.29527924990495,1.5000000000000002,3.75,8.5,15.5,21.800000000000004,0.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,2.8000000000000007,0.0,3.0,3.0,0.75,1.5,0.0,0.0,0.0,0.75,2.1000000000000005,0.0,5.0,1.25,2.5,0.0,0.0,0.0,1.25,3.500000000000001
2022-01-20,stars,001_1week,agda,< q10,1,1.0,1.0,1.0,1.0,1.0,0.0,39.0,39.0,39.0,39.0,,39.0,39.0,39.0,39.0,39.0,14.0,14.0,14.0,,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2022-01-20,stars,001_1week,agda,q50 - q75,2,0.0,2.0,2.0,2.0,2.0,0.0,2378.0,4261.0,6639.0,3319.5,1331.482068974269,2566.3,2848.75,3319.5,3790.25,4072.7,41.0,238.0,139.5,139.30003589374985,60.7,90.25,139.5,188.75,218.3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.7071067811865476,0.1,0.25,0.5,0.75,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.5,3.5355339059327378,0.5,1.25,2.5,3.75,4.5,0.0,4.0,2.0,2.8284271247461903,0.4,1.0,2.0,3.0,3.6
2022-01-20,stars,001_1week,agda,q90 <,2,1.0,2.0,2.0,2.0,2.0,0.0,4.0,8866.0,8870.0,4435.0,6266.3802948751845,890.2,2219.5,4435.0,6650.5,7979.8,2.0,1445.0,723.5,1020.3550852521881,146.3,362.75,723.5,1084.25,1300.7,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,87.0,87.0,43.5,61.518289963229634,8.700000000000001,21.75,43.5,65.25,78.3,0.0,15.0,15.0,7.5,10.606601717798213,1.5,3.75,7.5,11.25,13.5,0.0,4.0,4.0,2.0,2.8284271247461903,0.4,1.0,2.0,3.0,3.6,0.0,11.0,5.5,7.7781745930520225,1.1,2.75,5.5,8.25,9.9
2022-01-20,stars,001_1week,coq,q50 - q75,6,5.0,6.0,6.0,6.0,6.0,2.0,133.0,11511.0,33725.0,5620.833333333333,4080.2777560684112,1192.0,2925.5,6174.0,7461.25,9496.5,4.0,3438.0,1334.0,1235.3511241748233,230.5,545.75,1072.0,1803.75,2699.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,159.0,311.0,51.833333333333336,65.59090384090362,5.5,10.5,16.5,86.25,133.5,0.0,40.0,88.0,14.666666666666666,19.30457631409368,1.0,2.0,3.5,30.5,39.5,0.0,42.0,74.0,12.333333333333334,15.819818793736756,1.0,3.0,6.0,15.0,30.0,0.0,9.0,4.0,3.847076812334269,0.0,0.75,3.5,7.0,8.5
2022-01-20,stars,001_1week,coq,q75 - q90,2,1.0,2.0,2.0,1.0,1.0,0.0,185.0,18722.0,18907.0,9453.5,13107.638402855031,2038.7,4819.25,9453.5,14087.75,16868.3,3.0,841.0,422.0,592.5554826343268,86.80000000000001,212.5,422.0,631.5,757.2,2.0,3.0,2.5,0.7071067811865476,2.1,2.25,2.5,2.75,2.9,0.0,52.0,52.0,26.0,36.76955262170047,5.2,13.0,26.0,39.0,46.8,0.0,5.0,5.0,2.5,3.5355339059327378,0.5,1.25,2.5,3.75,4.5,0.0,2.0,2.0,1.0,1.4142135623730951,0.2,0.5,1.0,1.5,1.8,0.0,7.0,3.5,4.949747468305833,0.7000000000000001,1.75,3.5,5.25,6.3
2022-01-20,stars,001_1week,coq,q90 <,1,1.0,1.0,1.0,1.0,1.0,0.0,137980.0,137980.0,137980.0,137980.0,,137980.0,137980.0,137980.0,137980.0,137980.0,571.0,571.0,571.0,,571.0,571.0,571.0,571.0,571.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0
2022-01-20,stars,001_1week,elixir,q10 - q25,16,8.0,16.0,16.0,13.0,13.0,1.0,2.0,251885.0,298020.0,18626.25,62494.7607494687,46.0,107.75,1333.5,2315.75,17133.0,0.0,2226.0,599.125,759.2803500684053,1.0,94.75,333.0,607.75,1967.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2357.0,5020.0,313.75,703.747634691111,0.0,0.0,16.5,134.5,1106.5,0.0,175.0,392.0,24.5,54.46833942759776,0.0,0.0,0.5,14.5,85.0,0.0,235.0,339.0,21.1875,57.92549093447548,0.0,0.0,3.0,11.0,28.5,0.0,14.0,3.0,4.163331998932265,0.0,0.0,1.0,5.25,8.0
