ds,sortby,pushed,language,repo_count,repo_data_count
2022-05-12,stars,001_1week,go,2153,1000
2022-05-12,stars,001_1week,rust,1039,1000
2022-05-12,stars,001_1week,elixir,126,126
2022-05-12,stars,001_1week,haskell,115,115
2022-05-12,stars,001_1week,ocaml,42,42
2022-05-12,stars,001_1week,erlang,21,21
2022-05-12,stars,001_1week,ada,13,13
2022-05-12,stars,001_1week,coq,12,12
2022-05-12,stars,001_1week,sml,7,7
2022-05-12,stars,001_1week,lean,6,6
2022-05-12,stars,001_1week,agda,4,4
2022-05-12,stars,001_1week,idris,3,3
2022-05-12,stars,001_1week,isabelle,3,3
2022-05-12,stars,001_1week,tla,2,2
