ds,sortby,pushed,language,quantile,repo_count,repos_with_license,repos_with_issues,repos_with_downloads,repos_with_wiki,repos_with_projects,repos_with_pages,size_min,size_max,size_sum,size_avg,size_std,size_q10,size_q25,size_q50,size_q75,size_q90,days_since_create_min,days_since_create_max,days_since_create_avg,days_since_create_std,days_since_create_q10,days_since_create_q25,days_since_create_q50,days_since_create_q75,days_since_create_q90,days_since_push_min,days_since_push_max,days_since_push_avg,days_since_push_std,days_since_push_q10,days_since_push_q25,days_since_push_q50,days_since_push_q75,days_since_push_q90,stargazers_count_min,stargazers_count_max,stargazers_count_sum,stargazers_count_avg,stargazers_count_std,stargazers_count_q10,stargazers_count_q25,stargazers_count_q50,stargazers_count_q75,stargazers_count_q90,forks_count_min,forks_count_max,forks_count_sum,forks_count_avg,forks_count_std,forks_count_q10,forks_count_q25,forks_count_q50,forks_count_q75,forks_count_q90,open_issues_count_min,open_issues_count_max,open_issues_count_sum,open_issues_count_avg,open_issues_count_std,open_issues_count_q10,open_issues_count_q25,open_issues_count_q50,open_issues_count_q75,open_issues_count_q90,topics_count_min,topics_count_max,topics_count_avg,topics_count_std,topics_count_q10,topics_count_q25,topics_count_q50,topics_count_q75,topics_count_q90
2022-05-12,stars,001_1week,ada,q25 - q50,6,5.0,6.0,6.0,6.0,5.0,2.0,282.0,110711.0,130919.0,21819.833333333332,43809.400673447555,283.0,417.0,3615.0,10912.5,61561.5,6.0,1941.0,810.6666666666666,780.6970389764948,62.0,165.25,741.5,1281.0,1628.5,1.0,6.0,2.5,2.073644135332772,1.0,1.0,1.5,3.5,5.0,0.0,17.0,52.0,8.666666666666666,7.061633427661525,0.5,2.75,9.5,14.0,16.0,0.0,2.0,4.0,0.6666666666666666,1.0327955589886444,0.0,0.0,0.0,1.5,2.0,0.0,15.0,32.0,5.333333333333333,7.501111028818775,0.0,0.25,1.0,11.5,15.0,0.0,7.0,3.1666666666666665,3.5449494589721118,0.0,0.0,2.5,6.5,7.0
2022-05-12,stars,001_1week,ada,q50 - q75,3,3.0,3.0,3.0,1.0,3.0,1.0,473.0,25419.0,29989.0,9996.333333333334,13478.773287407625,1197.8000000000002,2285.0,4097.0,14758.0,21154.600000000002,854.0,1555.0,1195.3333333333333,350.8594210411534,918.6,1015.5,1177.0,1366.0,1479.4,1.0,4.0,2.0,1.7320508075688772,1.0,1.0,1.0,2.5,3.4000000000000004,2.0,79.0,110.0,36.666666666666664,39.06831623366092,7.4,15.5,29.0,54.0,69.0,3.0,5.0,11.0,3.6666666666666665,1.1547005383792517,3.0,3.0,3.0,4.0,4.6,0.0,204.0,205.0,68.33333333333333,117.49184368854434,0.2,0.5,1.0,102.5,163.4,0.0,7.0,4.0,3.605551275463989,1.0,2.5,5.0,6.0,6.6
2022-05-12,stars,001_1week,ada,q75 - q90,2,2.0,2.0,2.0,2.0,2.0,0.0,4586.0,4999.0,9585.0,4792.5,292.03510063004416,4627.3,4689.25,4792.5,4895.75,4957.7,1522.0,2676.0,2099.0,816.0012254892758,1637.4,1810.5,2099.0,2387.5,2560.6,3.0,4.0,3.5,0.7071067811865476,3.1,3.25,3.5,3.75,3.9,54.0,147.0,201.0,100.5,65.76093065034893,63.3,77.25,100.5,123.75,137.7,10.0,25.0,35.0,17.5,10.606601717798213,11.5,13.75,17.5,21.25,23.5,4.0,142.0,146.0,73.0,97.58073580374356,17.8,38.5,73.0,107.5,128.2,6.0,7.0,6.5,0.7071067811865476,6.1,6.25,6.5,6.75,6.9
2022-05-12,stars,001_1week,ada,q90 <,2,1.0,2.0,2.0,1.0,2.0,0.0,6060.0,132369.0,138429.0,69214.5,89313.95042489163,18690.9,37637.25,69214.5,100791.75,119738.1,1829.0,2072.0,1950.5,171.82694782833104,1853.3,1889.75,1950.5,2011.25,2047.7,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,139.0,251.0,390.0,195.0,79.19595949289332,150.2,167.0,195.0,223.0,239.8,42.0,42.0,84.0,42.0,0.0,42.0,42.0,42.0,42.0,42.0,24.0,43.0,67.0,33.5,13.435028842544403,25.9,28.75,33.5,38.25,41.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-12,stars,001_1week,agda,q50 - q75,3,0.0,3.0,3.0,2.0,3.0,0.0,10.0,608.0,697.0,232.33333333333334,327.161020498062,23.8,44.5,79.0,343.5,502.20000000000005,22.0,32.0,25.666666666666668,5.507570547286102,22.2,22.5,23.0,27.5,30.2,0.0,5.0,3.3333333333333335,2.8867513459481287,1.0,2.5,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-12,stars,001_1week,agda,q90 <,1,1.0,1.0,1.0,1.0,1.0,0.0,8636.0,8636.0,8636.0,8636.0,,8636.0,8636.0,8636.0,8636.0,8636.0,1557.0,1557.0,1557.0,,1557.0,1557.0,1557.0,1557.0,1557.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,99.0,99.0,99.0,99.0,,99.0,99.0,99.0,99.0,99.0,17.0,17.0,17.0,17.0,,17.0,17.0,17.0,17.0,17.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,11.0,11.0,11.0,,11.0,11.0,11.0,11.0,11.0
2022-05-12,stars,001_1week,coq,q25 - q50,6,3.0,6.0,6.0,6.0,6.0,0.0,64.0,6927.0,10259.0,1709.8333333333333,2778.376750310632,67.5,79.25,178.0,2193.75,4884.0,57.0,1283.0,410.8333333333333,472.91708223182917,72.0,93.25,223.5,527.0,937.0,1.0,6.0,2.6666666666666665,1.7511900715418263,1.5,2.0,2.0,2.75,4.5,0.0,3.0,4.0,0.6666666666666666,1.2110601416389966,0.0,0.0,0.0,0.75,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.3333333333333333,2.1602468994692865,0.0,0.0,0.0,2.25,4.0
2022-05-12,stars,001_1week,coq,q50 - q75,3,3.0,3.0,3.0,3.0,3.0,1.0,902.0,18150.0,22569.0,7523.0,9295.66581800357,1425.0,2209.5,3517.0,10833.5,15223.400000000001,569.0,2535.0,1342.6666666666667,1047.7358127568864,640.0,746.5,924.0,1729.5,2212.8,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,11.0,40.0,82.0,27.333333333333332,14.84362938547488,15.0,21.0,31.0,35.5,38.2,2.0,9.0,16.0,5.333333333333333,3.511884584284246,2.6,3.5,5.0,7.0,8.2,4.0,7.0,15.0,5.0,1.7320508075688772,4.0,4.0,4.0,5.5,6.4,4.0,8.0,5.666666666666667,2.081665999466133,4.2,4.5,5.0,6.5,7.4
2022-05-12,stars,001_1week,coq,q75 - q90,1,1.0,1.0,1.0,1.0,1.0,1.0,1535.0,1535.0,1535.0,1535.0,,1535.0,1535.0,1535.0,1535.0,1535.0,2680.0,2680.0,2680.0,,2680.0,2680.0,2680.0,2680.0,2680.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,117.0,117.0,117.0,117.0,,117.0,117.0,117.0,117.0,117.0,30.0,30.0,30.0,30.0,,30.0,30.0,30.0,30.0,30.0,32.0,32.0,32.0,32.0,,32.0,32.0,32.0,32.0,32.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2022-05-12,stars,001_1week,coq,q90 <,2,2.0,2.0,2.0,2.0,2.0,0.0,2590.0,6733.0,9323.0,4661.5,2929.5433944558663,3004.3,3625.75,4661.5,5697.25,6318.7,1444.0,2869.0,2156.5,1007.6271631908302,1586.5,1800.25,2156.5,2512.75,2726.5,0.0,1.0,0.5,0.7071067811865476,0.1,0.25,0.5,0.75,0.9,186.0,632.0,818.0,409.0,315.3696244092002,230.6,297.5,409.0,520.5,587.4,41.0,54.0,95.0,47.5,9.192388155425117,42.3,44.25,47.5,50.75,52.7,5.0,42.0,47.0,23.5,26.16295090390226,8.7,14.25,23.5,32.75,38.3,0.0,13.0,6.5,9.192388155425117,1.3,3.25,6.5,9.75,11.7
