ds,sortby,pushed,language,quantile,repo_count,repos_with_license,repos_with_issues,repos_with_downloads,repos_with_wiki,repos_with_projects,repos_with_pages,size_min,size_max,size_sum,size_avg,size_std,size_q10,size_q25,size_q50,size_q75,size_q90,days_since_create_min,days_since_create_max,days_since_create_avg,days_since_create_std,days_since_create_q10,days_since_create_q25,days_since_create_q50,days_since_create_q75,days_since_create_q90,days_since_push_min,days_since_push_max,days_since_push_avg,days_since_push_std,days_since_push_q10,days_since_push_q25,days_since_push_q50,days_since_push_q75,days_since_push_q90,stargazers_count_min,stargazers_count_max,stargazers_count_sum,stargazers_count_avg,stargazers_count_std,stargazers_count_q10,stargazers_count_q25,stargazers_count_q50,stargazers_count_q75,stargazers_count_q90,forks_count_min,forks_count_max,forks_count_sum,forks_count_avg,forks_count_std,forks_count_q10,forks_count_q25,forks_count_q50,forks_count_q75,forks_count_q90,open_issues_count_min,open_issues_count_max,open_issues_count_sum,open_issues_count_avg,open_issues_count_std,open_issues_count_q10,open_issues_count_q25,open_issues_count_q50,open_issues_count_q75,open_issues_count_q90,topics_count_min,topics_count_max,topics_count_avg,topics_count_std,topics_count_q10,topics_count_q25,topics_count_q50,topics_count_q75,topics_count_q90
2022-05-12,stars,001_1week,ada,< q10,2,2.0,2.0,2.0,2.0,1.0,1.0,282.0,284.0,566.0,283.0,1.4142135623730951,282.2,282.5,283.0,283.5,283.8,6.0,307.0,156.5,212.83914113715082,36.1,81.25,156.5,231.75,276.9,4.0,6.0,5.0,1.4142135623730951,4.2,4.5,5.0,5.5,5.8,1.0,11.0,12.0,6.0,7.0710678118654755,2.0,3.5,6.0,8.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.7071067811865476,0.1,0.25,0.5,0.75,0.9,0.0,7.0,3.5,4.949747468305833,0.7000000000000001,1.75,3.5,5.25,6.3
2022-05-12,stars,001_1week,ada,q10 - q25,1,1.0,1.0,1.0,1.0,1.0,0.0,473.0,473.0,473.0,473.0,,473.0,473.0,473.0,473.0,473.0,854.0,854.0,854.0,,854.0,854.0,854.0,854.0,854.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,29.0,29.0,29.0,29.0,,29.0,29.0,29.0,29.0,29.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0
2022-05-12,stars,001_1week,ada,q25 - q50,3,3.0,3.0,3.0,2.0,3.0,1.0,816.0,4586.0,9499.0,3166.3333333333335,2050.0805675224897,1472.2,2456.5,4097.0,4341.5,4488.2,118.0,1522.0,939.0,731.6331047731506,329.8,647.5,1177.0,1349.5,1453.0,1.0,3.0,1.6666666666666667,1.1547005383792517,1.0,1.0,1.0,2.0,2.6,2.0,147.0,166.0,55.333333333333336,79.73915809270457,5.0,9.5,17.0,82.0,121.0,2.0,25.0,32.0,10.666666666666666,12.503332889007368,2.6,3.5,5.0,15.0,21.0,0.0,142.0,157.0,52.333333333333336,78.01495583113108,3.0,7.5,15.0,78.5,116.60000000000001,0.0,7.0,4.333333333333333,3.785938897200183,1.2000000000000002,3.0,6.0,6.5,6.8
2022-05-12,stars,001_1week,ada,q50 - q75,3,2.0,3.0,3.0,3.0,3.0,0.0,4999.0,6414.0,17473.0,5824.333333333333,736.3493283308769,5211.2,5529.5,6060.0,6237.0,6343.2,1176.0,2676.0,1893.6666666666667,752.0879824417708,1306.6,1502.5,1829.0,2252.5,2506.6,1.0,4.0,2.3333333333333335,1.5275252316519468,1.2,1.5,2.0,3.0,3.6,0.0,139.0,193.0,64.33333333333333,70.07377065160212,10.8,27.0,54.0,96.5,122.0,0.0,42.0,52.0,17.333333333333332,21.93931022920578,2.0,5.0,10.0,26.0,35.6,0.0,24.0,28.0,9.333333333333334,12.858201014657272,0.8,2.0,4.0,14.0,20.0,0.0,7.0,2.3333333333333335,4.041451884327381,0.0,0.0,0.0,3.5,5.6000000000000005
2022-05-12,stars,001_1week,ada,q75 - q90,2,2.0,2.0,2.0,1.0,2.0,0.0,12412.0,25419.0,37831.0,18915.5,9197.337902893423,13712.7,15663.75,18915.5,22167.25,24118.3,1555.0,1941.0,1748.0,272.94321753800733,1593.6,1651.5,1748.0,1844.5,1902.4,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,8.0,79.0,87.0,43.5,50.204581464244875,15.100000000000001,25.75,43.5,61.25,71.9,0.0,3.0,3.0,1.5,2.1213203435596424,0.30000000000000004,0.75,1.5,2.25,2.7,1.0,204.0,205.0,102.5,143.54267658086914,21.3,51.75,102.5,153.25,183.7,0.0,7.0,3.5,4.949747468305833,0.7000000000000001,1.75,3.5,5.25,6.3
2022-05-12,stars,001_1week,ada,q90 <,2,1.0,2.0,2.0,1.0,2.0,1.0,110711.0,132369.0,243080.0,121540.0,15314.518666938246,112876.8,116125.5,121540.0,126954.5,130203.2,1316.0,2072.0,1694.0,534.5727265770299,1391.6,1505.0,1694.0,1883.0,1996.4,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,15.0,251.0,266.0,133.0,166.87720036002523,38.6,74.0,133.0,192.0,227.4,2.0,42.0,44.0,22.0,28.284271247461902,6.0,12.0,22.0,32.0,38.0,15.0,43.0,58.0,29.0,19.79898987322333,17.8,22.0,29.0,36.0,40.2,0.0,5.0,2.5,3.5355339059327378,0.5,1.25,2.5,3.75,4.5
2022-05-12,stars,001_1week,agda,< q10,1,0.0,1.0,1.0,1.0,1.0,0.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,22.0,22.0,22.0,,22.0,22.0,22.0,22.0,22.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2022-05-12,stars,001_1week,agda,q25 - q50,1,0.0,1.0,1.0,1.0,1.0,0.0,79.0,79.0,79.0,79.0,,79.0,79.0,79.0,79.0,79.0,23.0,23.0,23.0,,23.0,23.0,23.0,23.0,23.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2022-05-12,stars,001_1week,agda,q50 - q75,1,0.0,1.0,1.0,0.0,1.0,0.0,608.0,608.0,608.0,608.0,,608.0,608.0,608.0,608.0,608.0,32.0,32.0,32.0,,32.0,32.0,32.0,32.0,32.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2022-05-12,stars,001_1week,agda,q90 <,1,1.0,1.0,1.0,1.0,1.0,0.0,8636.0,8636.0,8636.0,8636.0,,8636.0,8636.0,8636.0,8636.0,8636.0,1557.0,1557.0,1557.0,,1557.0,1557.0,1557.0,1557.0,1557.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,99.0,99.0,99.0,99.0,,99.0,99.0,99.0,99.0,99.0,17.0,17.0,17.0,17.0,,17.0,17.0,17.0,17.0,17.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,11.0,11.0,11.0,,11.0,11.0,11.0,11.0,11.0
