ds,language,license_key,topic,repo_count
2022-09-15,coq,,coq,2
2022-09-15,coq,mit,coq,2
2022-09-15,elixir,,elixir,13
2022-09-15,elixir,,phoenix,7
2022-09-15,elixir,,liveview,2
2022-09-15,elixir,agpl-3.0,phoenix,4
2022-09-15,elixir,agpl-3.0,elixir,3
2022-09-15,elixir,agpl-3.0,tailwindcss,2
2022-09-15,elixir,apache-2.0,elixir,13
2022-09-15,elixir,apache-2.0,elixir-lang,2
2022-09-15,elixir,apache-2.0,nerves,2
2022-09-15,elixir,apache-2.0,phoenix,2
2022-09-15,elixir,gpl-3.0,elixir,2
2022-09-15,elixir,mit,elixir,27
2022-09-15,elixir,mit,phoenix,10
2022-09-15,elixir,mit,ecto,5
2022-09-15,elixir,mit,elixir-lang,3
2022-09-15,elixir,mit,json,3
2022-09-15,elixir,mit,phoenix-framework,3
2022-09-15,elixir,mit,data-science,2
2022-09-15,elixir,mit,docker,2
2022-09-15,elixir,mit,email,2
2022-09-15,elixir,mit,framework,2
2022-09-15,elixir,mit,liveview,2
2022-09-15,elixir,mit,phoenix-liveview,2
2022-09-15,elixir,other,elixir,3
2022-09-15,erlang,apache-2.0,erlang,3
2022-09-15,erlang,mit,elixir,2
2022-09-15,erlang,mit,erlang,2
2022-09-15,erlang,other,erlang,5
2022-09-15,erlang,other,messaging,3
2022-09-15,erlang,other,broker,2
2022-09-15,erlang,other,chat,2
2022-09-15,erlang,other,iot,2
2022-09-15,erlang,other,jabber,2
2022-09-15,erlang,other,mqtt,2
2022-09-15,erlang,other,pubsub,2
2022-09-15,erlang,other,xmpp,2
2022-09-15,go,,golang,12
2022-09-15,go,,go,9
2022-09-15,go,,kubernetes,3
2022-09-15,go,,docker,2
2022-09-15,go,,go-zero,2
2022-09-15,go,,grpc,2
2022-09-15,go,,microservices,2
2022-09-15,go,,nuclei,2
2022-09-15,go,,protobuf,2
2022-09-15,go,,security,2
2022-09-15,go,agpl-3.0,golang,10
2022-09-15,go,agpl-3.0,go,5
2022-09-15,go,agpl-3.0,hacktoberfest,4
2022-09-15,go,agpl-3.0,security,3
2022-09-15,go,agpl-3.0,containers,2
2022-09-15,go,agpl-3.0,devops,2
2022-09-15,go,agpl-3.0,google-cloud-storage,2
2022-09-15,go,agpl-3.0,graphql,2
2022-09-15,go,agpl-3.0,react,2
2022-09-15,go,agpl-3.0,s3,2
2022-09-15,go,agpl-3.0,shadowsocks,2
2022-09-15,go,agpl-3.0,storage,2
2022-09-15,go,agpl-3.0,webdav,2
2022-09-15,go,apache-2.0,kubernetes,127
