ds,sortby,pushed,language,quantile,repo_count,repos_with_license,repos_with_issues,repos_with_downloads,repos_with_wiki,repos_with_projects,repos_with_pages,size_min,size_max,size_sum,size_avg,size_std,size_q10,size_q25,size_q50,size_q75,size_q90,days_since_create_min,days_since_create_max,days_since_create_avg,days_since_create_std,days_since_create_q10,days_since_create_q25,days_since_create_q50,days_since_create_q75,days_since_create_q90,days_since_push_min,days_since_push_max,days_since_push_avg,days_since_push_std,days_since_push_q10,days_since_push_q25,days_since_push_q50,days_since_push_q75,days_since_push_q90,stargazers_count_min,stargazers_count_max,stargazers_count_sum,stargazers_count_avg,stargazers_count_std,stargazers_count_q10,stargazers_count_q25,stargazers_count_q50,stargazers_count_q75,stargazers_count_q90,forks_count_min,forks_count_max,forks_count_sum,forks_count_avg,forks_count_std,forks_count_q10,forks_count_q25,forks_count_q50,forks_count_q75,forks_count_q90,open_issues_count_min,open_issues_count_max,open_issues_count_sum,open_issues_count_avg,open_issues_count_std,open_issues_count_q10,open_issues_count_q25,open_issues_count_q50,open_issues_count_q75,open_issues_count_q90,topics_count_min,topics_count_max,topics_count_avg,topics_count_std,topics_count_q10,topics_count_q25,topics_count_q50,topics_count_q75,topics_count_q90
2022-09-29,stars,001_1week,ada,< q10,2,1.0,2.0,2.0,2.0,2.0,0.0,6645.0,66303.0,72948.0,36474.0,42184.576352027056,12610.8,21559.5,36474.0,51388.5,60337.200000000004,400.0,1316.0,858.0,647.7098115668775,491.6,629.0,858.0,1087.0,1224.4,2.0,6.0,4.0,2.8284271247461903,2.4,3.0,4.0,5.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29,stars,001_1week,ada,q10 - q25,1,1.0,1.0,1.0,1.0,1.0,0.0,6777.0,6777.0,6777.0,6777.0,,6777.0,6777.0,6777.0,6777.0,6777.0,60.0,60.0,60.0,,60.0,60.0,60.0,60.0,60.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2022-09-29,stars,001_1week,ada,q25 - q50,5,5.0,5.0,5.0,4.0,5.0,1.0,14.0,14131.0,24560.0,4912.0,5721.210842120749,102.4,235.0,5016.0,5164.0,10544.2,19.0,2374.0,1195.2,1071.5639038340178,85.4,185.0,1317.0,2081.0,2256.8,1.0,6.0,3.6,2.3021728866442674,1.4,2.0,3.0,6.0,6.0,2.0,8.0,19.0,3.8,2.4899799195977463,2.0,2.0,3.0,4.0,6.4,0.0,6.0,10.0,2.0,2.3452078799117144,0.4,1.0,1.0,2.0,4.4,0.0,6.0,8.0,1.6,2.5099800796022262,0.0,0.0,1.0,1.0,4.0,0.0,8.0,2.2,3.492849839314596,0.0,0.0,0.0,3.0,6.0
2022-09-29,stars,001_1week,ada,q50 - q75,4,4.0,4.0,4.0,3.0,4.0,2.0,2350.0,112415.0,132207.0,33051.75,53050.05839377873,3365.5,4888.75,8721.0,36884.0,82202.60000000002,856.0,4213.0,2335.25,1496.4766119121275,1036.0,1306.0,2136.0,3165.25,3793.9,2.0,6.0,4.0,1.8257418583505538,2.3,2.75,4.0,5.25,5.7,21.0,56.0,166.0,41.5,14.843629385474879,27.3,36.75,44.5,49.25,53.300000000000004,2.0,10.0,24.0,6.0,3.366501646120693,2.9000000000000004,4.25,6.0,7.75,9.100000000000001,2.0,14.0,24.0,6.0,5.41602560309064,2.6,3.5,4.0,6.5,11.000000000000002,0.0,13.0,6.5,5.32290647422377,1.8000000000000003,4.5,6.5,8.5,11.200000000000001
2022-09-29,stars,001_1week,ada,q75 - q90,2,2.0,2.0,2.0,1.0,2.0,1.0,6492.0,26983.0,33475.0,16737.5,14489.325053293545,8541.1,11614.75,16737.5,21860.25,24933.9,1695.0,1969.0,1832.0,193.74725804511402,1722.4,1763.5,1832.0,1900.5,1941.6,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,85.0,159.0,244.0,122.0,52.32590180780452,92.4,103.5,122.0,140.5,151.6,6.0,48.0,54.0,27.0,29.698484809834994,10.2,16.5,27.0,37.5,43.8,16.0,203.0,219.0,109.5,132.22896808188437,34.7,62.75,109.5,156.25,184.3,0.0,11.0,5.5,7.7781745930520225,1.1,2.75,5.5,8.25,9.9
2022-09-29,stars,001_1week,ada,q90 <,2,1.0,2.0,2.0,1.0,2.0,0.0,4814.0,134534.0,139348.0,69674.0,91725.89165551895,17786.0,37244.0,69674.0,102104.0,121562.0,1662.0,2212.0,1937.0,388.90872965260115,1717.0,1799.5,1937.0,2074.5,2157.0,1.0,3.0,2.0,1.4142135623730951,1.2,1.5,2.0,2.5,2.8,181.0,270.0,451.0,225.5,62.932503525602726,189.9,203.25,225.5,247.75,261.1,29.0,46.0,75.0,37.5,12.020815280171307,30.7,33.25,37.5,41.75,44.3,47.0,187.0,234.0,117.0,98.99494936611666,61.0,82.0,117.0,152.0,173.0,0.0,6.0,3.0,4.242640687119285,0.6000000000000001,1.5,3.0,4.5,5.4
2022-09-29,stars,001_1week,agda,q50 - q75,2,0.0,2.0,2.0,2.0,2.0,0.0,89.0,1464.0,1553.0,776.5,972.2718241315029,226.5,432.75,776.5,1120.25,1326.5,21.0,93.0,57.0,50.91168824543142,28.2,39.0,57.0,75.0,85.8,2.0,3.0,2.5,0.7071067811865476,2.1,2.25,2.5,2.75,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29,stars,001_1week,agda,q90 <,1,1.0,1.0,1.0,1.0,1.0,0.0,10924.0,10924.0,10924.0,10924.0,,10924.0,10924.0,10924.0,10924.0,10924.0,1697.0,1697.0,1697.0,,1697.0,1697.0,1697.0,1697.0,1697.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,117.0,117.0,117.0,117.0,,117.0,117.0,117.0,117.0,117.0,19.0,19.0,19.0,19.0,,19.0,19.0,19.0,19.0,19.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,11.0,11.0,11.0,,11.0,11.0,11.0,11.0,11.0
2022-09-29,stars,001_1week,coq,q25 - q50,6,1.0,6.0,6.0,6.0,6.0,0.0,4.0,7195.0,7884.0,1314.0,2883.129133424308,13.0,61.25,188.0,264.5,3741.0,3.0,731.0,184.0,278.1625424100089,6.5,17.5,81.5,178.5,464.0,0.0,4.0,1.6666666666666667,1.505545305418162,0.5,1.0,1.0,2.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.16666666666666666,0.408248290463863,0.0,0.0,0.0,0.0,0.5,0.0,5.0,0.8333333333333334,2.0412414523193148,0.0,0.0,0.0,0.0,2.5
2022-09-29,stars,001_1week,coq,q50 - q75,5,2.0,5.0,5.0,5.0,5.0,0.0,168.0,50395.0,57137.0,11427.4,21859.358917863992,400.0,748.0,1037.0,4789.0,32152.600000000006,240.0,1080.0,688.2,374.9295933905458,320.0,440.0,617.0,1064.0,1073.6,1.0,6.0,3.0,2.7386127875258306,1.0,1.0,1.0,6.0,6.0,1.0,19.0,41.0,8.2,7.563068160475615,1.0,1.0,9.0,11.0,15.8,0.0,14.0,18.0,3.6,5.856620185738529,0.4,1.0,1.0,2.0,9.200000000000001,0.0,7.0,12.0,2.4,3.361547262794322,0.0,0.0,0.0,5.0,6.2,0.0,4.0,1.6,2.1908902300206643,0.0,0.0,0.0,4.0,4.0
