ds,sortby,pushed,language,quantile,repo_count,repos_with_license,repos_with_issues,repos_with_downloads,repos_with_wiki,repos_with_projects,repos_with_pages,size_min,size_max,size_sum,size_avg,size_std,size_q10,size_q25,size_q50,size_q75,size_q90,days_since_create_min,days_since_create_max,days_since_create_avg,days_since_create_std,days_since_create_q10,days_since_create_q25,days_since_create_q50,days_since_create_q75,days_since_create_q90,days_since_push_min,days_since_push_max,days_since_push_avg,days_since_push_std,days_since_push_q10,days_since_push_q25,days_since_push_q50,days_since_push_q75,days_since_push_q90,stargazers_count_min,stargazers_count_max,stargazers_count_sum,stargazers_count_avg,stargazers_count_std,stargazers_count_q10,stargazers_count_q25,stargazers_count_q50,stargazers_count_q75,stargazers_count_q90,forks_count_min,forks_count_max,forks_count_sum,forks_count_avg,forks_count_std,forks_count_q10,forks_count_q25,forks_count_q50,forks_count_q75,forks_count_q90,open_issues_count_min,open_issues_count_max,open_issues_count_sum,open_issues_count_avg,open_issues_count_std,open_issues_count_q10,open_issues_count_q25,open_issues_count_q50,open_issues_count_q75,open_issues_count_q90,topics_count_min,topics_count_max,topics_count_avg,topics_count_std,topics_count_q10,topics_count_q25,topics_count_q50,topics_count_q75,topics_count_q90
2022-11-17,stars,001_1week,ada,q25 - q50,5,3.0,5.0,5.0,3.0,4.0,1.0,523.0,198916.0,218320.0,43664.0,86826.11021461229,2483.8,5425.0,6669.0,6787.0,122064.40000000002,109.0,1366.0,695.4,618.4660863782266,175.0,274.0,363.0,1365.0,1365.6,1.0,5.0,2.2,1.6431676725154984,1.0,1.0,2.0,2.0,3.8000000000000003,0.0,33.0,38.0,7.6,14.25833089811006,0.0,0.0,2.0,3.0,21.000000000000004,0.0,7.0,15.0,3.0,3.3166247903554,0.0,0.0,2.0,6.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,4.472135954999579,0.0,0.0,0.0,0.0,6.000000000000001
2022-11-17,stars,001_1week,ada,q50 - q75,3,3.0,3.0,3.0,3.0,3.0,0.0,270.0,13031.0,15546.0,5182.0,6868.788612266358,665.0,1257.5,2245.0,7638.0,10873.800000000001,234.0,2579.0,1647.6666666666667,1244.684832932953,613.2,1182.0,2130.0,2354.5,2489.2,3.0,5.0,3.6666666666666665,1.1547005383792515,3.0,3.0,3.0,4.0,4.6,5.0,18.0,31.0,10.333333333333334,6.8068592855540455,5.6,6.5,8.0,13.0,16.0,1.0,2.0,4.0,1.3333333333333333,0.5773502691896257,1.0,1.0,1.0,1.5,1.8,1.0,6.0,8.0,2.6666666666666665,2.8867513459481287,1.0,1.0,1.0,3.5,5.0,0.0,6.0,3.0,3.0,0.6000000000000001,1.5,3.0,4.5,5.4
2022-11-17,stars,001_1week,ada,q75 - q90,1,1.0,1.0,1.0,1.0,1.0,1.0,113266.0,113266.0,113266.0,113266.0,,113266.0,113266.0,113266.0,113266.0,113266.0,1505.0,1505.0,1505.0,,1505.0,1505.0,1505.0,1505.0,1505.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,23.0,23.0,23.0,23.0,,23.0,23.0,23.0,23.0,23.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,17.0,17.0,17.0,17.0,,17.0,17.0,17.0,17.0,17.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0
2022-11-17,stars,001_1week,ada,q90 <,2,1.0,2.0,2.0,1.0,2.0,0.0,6593.0,135632.0,142225.0,71112.5,91244.35193753091,19496.9,38852.75,71112.5,103372.25,122728.1,2018.0,2261.0,2139.5,171.82694782833104,2042.3,2078.75,2139.5,2200.25,2236.7,1.0,2.0,1.5,0.7071067811865476,1.1,1.25,1.5,1.75,1.9,168.0,284.0,452.0,226.0,82.02438661763951,179.6,197.0,226.0,255.0,272.4,47.0,48.0,95.0,47.5,0.7071067811865476,47.1,47.25,47.5,47.75,47.9,20.0,48.0,68.0,34.0,19.79898987322333,22.8,27.0,34.0,41.0,45.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-17,stars,001_1week,agda,q50 - q75,2,1.0,2.0,2.0,2.0,2.0,0.0,22.0,1534.0,1556.0,778.0,1069.1454531540599,173.20000000000002,400.0,778.0,1156.0,1382.8,20.0,70.0,45.0,35.35533905932738,25.0,32.5,45.0,57.5,65.0,1.0,4.0,2.5,2.1213203435596424,1.3,1.75,2.5,3.25,3.7,0.0,9.0,9.0,4.5,6.363961030678928,0.9,2.25,4.5,6.75,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-17,stars,001_1week,agda,q90 <,1,1.0,1.0,1.0,1.0,1.0,0.0,10314.0,10314.0,10314.0,10314.0,,10314.0,10314.0,10314.0,10314.0,10314.0,1746.0,1746.0,1746.0,,1746.0,1746.0,1746.0,1746.0,1746.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,131.0,131.0,131.0,131.0,,131.0,131.0,131.0,131.0,131.0,19.0,19.0,19.0,19.0,,19.0,19.0,19.0,19.0,19.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,11.0,11.0,11.0,,11.0,11.0,11.0,11.0,11.0
2022-11-17,stars,001_1week,coq,q25 - q50,5,2.0,5.0,5.0,5.0,5.0,0.0,300.0,138072.0,141413.0,28282.6,61377.278481535825,360.8,452.0,709.0,1880.0,83595.20000000001,22.0,872.0,356.8,440.159857324586,24.0,27.0,59.0,804.0,844.8,1.0,6.0,3.0,1.8708286933869707,1.4,2.0,3.0,3.0,4.800000000000001,0.0,21.0,32.0,6.4,9.181503144910424,0.0,0.0,1.0,10.0,16.6,0.0,5.0,7.0,1.4,2.1908902300206643,0.0,0.0,0.0,2.0,3.8000000000000003,0.0,2.0,2.0,0.4,0.894427190999916,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,4.0,1.6,2.1908902300206643,0.0,0.0,0.0,4.0,4.0
2022-11-17,stars,001_1week,coq,q50 - q75,2,2.0,2.0,2.0,2.0,2.0,0.0,5012.0,49626.0,54638.0,27319.0,31546.861935856632,9473.400000000001,16165.5,27319.0,38472.5,45164.6,1113.0,1129.0,1121.0,11.313708498984761,1114.6,1117.0,1121.0,1125.0,1127.4,2.0,3.0,2.5,0.7071067811865476,2.1,2.25,2.5,2.75,2.9,12.0,19.0,31.0,15.5,4.949747468305833,12.7,13.75,15.5,17.25,18.3,2.0,14.0,16.0,8.0,8.48528137423857,3.2,5.0,8.0,11.0,12.8,4.0,6.0,10.0,5.0,1.4142135623730951,4.2,4.5,5.0,5.5,5.8,0.0,4.0,2.0,2.8284271247461903,0.4,1.0,2.0,3.0,3.6
2022-11-17,stars,001_1week,coq,q75 - q90,2,2.0,2.0,2.0,2.0,2.0,0.0,192.0,3733.0,3925.0,1962.5,2503.8651121815647,546.1,1077.25,1962.5,2847.75,3378.9,1793.0,2482.0,2137.5,487.19657223753126,1861.9,1965.25,2137.5,2309.75,2413.1,1.0,2.0,1.5,0.7071067811865476,1.1,1.25,1.5,1.75,1.9,23.0,58.0,81.0,40.5,24.748737341529164,26.5,31.75,40.5,49.25,54.5,8.0,9.0,17.0,8.5,0.7071067811865476,8.1,8.25,8.5,8.75,8.9,8.0,11.0,19.0,9.5,2.1213203435596424,8.3,8.75,9.5,10.25,10.7,3.0,7.0,5.0,2.8284271247461903,3.4,4.0,5.0,6.0,6.6
2022-11-17,stars,001_1week,coq,q90 <,1,1.0,1.0,1.0,1.0,1.0,0.0,2358.0,2358.0,2358.0,2358.0,,2358.0,2358.0,2358.0,2358.0,2358.0,1564.0,1564.0,1564.0,,1564.0,1564.0,1564.0,1564.0,1564.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,62.0,62.0,62.0,62.0,,62.0,62.0,62.0,62.0,62.0,8.0,8.0,8.0,8.0,,8.0,8.0,8.0,8.0,8.0,13.0,13.0,13.0,13.0,,13.0,13.0,13.0,13.0,13.0,8.0,8.0,8.0,,8.0,8.0,8.0,8.0,8.0
