ds,sortby,pushed,language,license_key,repo_count,repos_with_license,repos_with_issues,repos_with_downloads,repos_with_wiki,repos_with_projects,repos_with_pages,size_min,size_max,size_sum,size_avg,size_std,size_q10,size_q25,size_q50,size_q75,size_q90,days_since_create_min,days_since_create_max,days_since_create_avg,days_since_create_std,days_since_create_q10,days_since_create_q25,days_since_create_q50,days_since_create_q75,days_since_create_q90,days_since_push_min,days_since_push_max,days_since_push_avg,days_since_push_std,days_since_push_q10,days_since_push_q25,days_since_push_q50,days_since_push_q75,days_since_push_q90,stargazers_count_min,stargazers_count_max,stargazers_count_sum,stargazers_count_avg,stargazers_count_std,stargazers_count_q10,stargazers_count_q25,stargazers_count_q50,stargazers_count_q75,stargazers_count_q90,forks_count_min,forks_count_max,forks_count_sum,forks_count_avg,forks_count_std,forks_count_q10,forks_count_q25,forks_count_q50,forks_count_q75,forks_count_q90,open_issues_count_min,open_issues_count_max,open_issues_count_sum,open_issues_count_avg,open_issues_count_std,open_issues_count_q10,open_issues_count_q25,open_issues_count_q50,open_issues_count_q75,open_issues_count_q90,topics_count_min,topics_count_max,topics_count_avg,topics_count_std,topics_count_q10,topics_count_q25,topics_count_q50,topics_count_q75,topics_count_q90
2022-12-15,stars,001_1week,ada,,3,0.0,3.0,3.0,2.0,3.0,0.0,211.0,131211.0,131786.0,43928.666666666664,75588.75667937219,241.6,287.5,364.0,65787.5,105041.6,5.0,2289.0,766.6666666666666,1318.3794345078861,5.2,5.5,6.0,1147.5,1832.4,1.0,6.0,4.0,2.6457513110645907,1.8,3.0,5.0,5.5,5.8,0.0,296.0,298.0,99.33333333333333,170.3212650649746,0.4,1.0,2.0,149.0,237.20000000000002,0.0,47.0,47.0,15.666666666666666,27.135462651912412,0.0,0.0,0.0,23.5,37.6,0.0,58.0,58.0,19.333333333333332,33.4863156129983,0.0,0.0,0.0,29.0,46.400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-15,stars,001_1week,ada,agpl-3.0,1,1.0,1.0,1.0,0.0,1.0,1.0,28397.0,28397.0,28397.0,28397.0,,28397.0,28397.0,28397.0,28397.0,28397.0,1772.0,1772.0,1772.0,,1772.0,1772.0,1772.0,1772.0,1772.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,92.0,92.0,92.0,92.0,,92.0,92.0,92.0,92.0,92.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,9.0,9.0,206.0,206.0,206.0,206.0,,206.0,206.0,206.0,206.0,206.0,11.0,11.0,11.0,,11.0,11.0,11.0,11.0,11.0
2022-12-15,stars,001_1week,ada,apache-2.0,1,1.0,1.0,1.0,1.0,1.0,0.0,16.0,16.0,16.0,16.0,,16.0,16.0,16.0,16.0,16.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2022-12-15,stars,001_1week,ada,bsd-3-clause,3,3.0,3.0,3.0,1.0,3.0,0.0,9879.0,11824.0,32428.0,10809.333333333334,975.238603282978,10048.2,10302.0,10725.0,11274.5,11604.2,317.0,458.0,393.0,71.14070564732964,334.4,360.5,404.0,431.0,447.2,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-15,stars,001_1week,ada,gpl-3.0,4,4.0,4.0,4.0,4.0,4.0,0.0,4884.0,14439.0,31904.0,7976.0,4362.156729570057,5248.8,5796.0,6290.5,8470.5,12051.600000000002,1739.0,2451.0,2098.5,294.27481486981975,1831.1,1969.25,2102.0,2231.25,2363.1,1.0,3.0,1.75,0.9574271077563381,1.0,1.0,1.5,2.25,2.7,1.0,193.0,378.0,94.5,104.19372981774542,3.1000000000000005,6.25,92.0,180.25,187.9,0.0,51.0,85.0,21.25,24.649205531483837,0.6000000000000001,1.5,17.0,36.75,45.300000000000004,0.0,228.0,256.0,64.0,110.04544515789829,0.30000000000000004,0.75,14.0,77.25,167.70000000000005,0.0,7.0,3.25,3.774917217635375,0.0,0.0,3.0,6.25,6.7
2022-12-15,stars,001_1week,ada,other,1,1.0,1.0,1.0,0.0,1.0,1.0,4937.0,4937.0,4937.0,4937.0,,4937.0,4937.0,4937.0,4937.0,4937.0,1394.0,1394.0,1394.0,,1394.0,1394.0,1394.0,1394.0,1394.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2022-12-15,stars,001_1week,agda,,1,0.0,1.0,1.0,1.0,1.0,0.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2022-12-15,stars,001_1week,agda,gpl-3.0,1,1.0,1.0,1.0,1.0,1.0,0.0,10803.0,10803.0,10803.0,10803.0,,10803.0,10803.0,10803.0,10803.0,10803.0,1774.0,1774.0,1774.0,,1774.0,1774.0,1774.0,1774.0,1774.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,133.0,133.0,133.0,133.0,,133.0,133.0,133.0,133.0,133.0,19.0,19.0,19.0,19.0,,19.0,19.0,19.0,19.0,19.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,11.0,11.0,11.0,,11.0,11.0,11.0,11.0,11.0
2022-12-15,stars,001_1week,agda,mit,1,1.0,1.0,1.0,1.0,1.0,0.0,19.0,19.0,19.0,19.0,,19.0,19.0,19.0,19.0,19.0,16.0,16.0,16.0,,16.0,16.0,16.0,16.0,16.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2022-12-15,stars,001_1week,coq,,5,0.0,5.0,5.0,5.0,5.0,0.0,6.0,7327.0,8202.0,1640.4,3186.9175232503276,32.400000000000006,72.0,208.0,589.0,4631.800000000001,9.0,808.0,284.8,385.13465177779057,9.0,9.0,10.0,588.0,720.0,1.0,4.0,2.2,1.6431676725154984,1.0,1.0,1.0,4.0,4.0,0.0,27.0,27.0,5.4,12.074767078498866,0.0,0.0,0.0,0.0,16.200000000000003,0.0,1.0,1.0,0.2,0.447213595499958,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,14.0,14.0,2.8,6.260990336999411,0.0,0.0,0.0,0.0,8.400000000000002,0.0,5.0,1.0,2.2360679774997894,0.0,0.0,0.0,0.0,3.0000000000000004
2022-12-15,stars,001_1week,coq,lgpl-2.1,2,2.0,2.0,2.0,2.0,2.0,0.0,2367.0,5042.0,7409.0,3704.5,1891.5106396740146,2634.5,3035.75,3704.5,4373.25,4774.5,1592.0,1821.0,1706.5,161.92745289171938,1614.9,1649.25,1706.5,1763.75,1798.1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,58.0,62.0,120.0,60.0,2.8284271247461903,58.4,59.0,60.0,61.0,61.6,8.0,9.0,17.0,8.5,0.7071067811865476,8.1,8.25,8.5,8.75,8.9,10.0,13.0,23.0,11.5,2.1213203435596424,10.3,10.75,11.5,12.25,12.7,7.0,8.0,7.5,0.7071067811865476,7.1,7.25,7.5,7.75,7.9
2022-12-15,stars,001_1week,coq,mit,6,6.0,6.0,6.0,6.0,6.0,2.0,91.0,20786.0,49140.0,8190.0,8116.2242945842745,477.0,1965.5,6351.5,12880.25,17741.5,109.0,2170.0,1171.8333333333333,772.8222089631397,388.0,696.75,1212.0,1655.25,1915.5,0.0,6.0,2.0,2.0976176963403033,0.5,1.0,1.5,2.0,4.0,0.0,204.0,538.0,89.66666666666667,88.76185366849133,0.0,9.25,84.5,156.75,184.5,0.0,46.0,123.0,20.5,20.097263495311992,0.0,2.25,19.5,36.0,42.0,0.0,57.0,129.0,21.5,23.73815494093844,0.0,1.75,15.0,37.25,49.5,0.0,8.0,1.8333333333333333,3.2506409624359724,0.0,0.0,0.0,2.25,5.5
2022-12-15,stars,001_1week,coq,other,1,1.0,1.0,1.0,1.0,1.0,0.0,5120.0,5120.0,5120.0,5120.0,,5120.0,5120.0,5120.0,5120.0,5120.0,1141.0,1141.0,1141.0,,1141.0,1141.0,1141.0,1141.0,1141.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,12.0,12.0,12.0,12.0,,12.0,12.0,12.0,12.0,12.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0
2022-12-15,stars,001_1week,elixir,,52,0.0,51.0,52.0,44.0,46.0,1.0,0.0,25271.0,74914.0,1440.6538461538462,4302.882927256003,4.700000000000004,52.75,158.0,444.75,3628.8999999999983,0.0,3529.0,654.5192307692307,921.017861707204,5.0,8.25,124.0,840.25,1879.8,0.0,6.0,2.769230769230769,1.8746543170532681,1.0,1.0,2.5,4.0,5.0,0.0,2010.0,3549.0,68.25,307.7539681335739,0.0,0.0,0.0,3.0,33.69999999999998,0.0,278.0,501.0,9.634615384615385,42.52244106312358,0.0,0.0,0.0,1.0,6.899999999999999,0.0,48.0,161.0,3.0961538461538463,8.887664099882368,0.0,0.0,0.0,1.0,6.699999999999996,0.0,11.0,1.0384615384615385,2.3842747774067443,0.0,0.0,0.0,0.0,3.8999999999999986
2022-12-15,stars,001_1week,elixir,agpl-3.0,7,7.0,7.0,7.0,5.0,6.0,2.0,340.0,436428.0,520060.0,74294.28571428571,161865.4975771698,379.0,788.0,2771.0,39472.5,218358.00000000012,67.0,1472.0,705.5714285714286,412.6842445675455,384.40000000000003,599.5,716.0,742.5,1049.6000000000004,0.0,1.0,0.7142857142857143,0.4879500364742666,0.0,0.5,1.0,1.0,1.0,1.0,13243.0,13550.0,1935.7142857142858,4987.123209302323,1.6,2.5,8.0,146.5,5467.000000000005,0.0,665.0,688.0,98.28571428571429,250.02980774680597,0.0,0.0,0.0,11.5,279.2000000000002,0.0,102.0,209.0,29.857142857142858,41.135664053748506,0.0,0.0,0.0,53.5,79.80000000000001,0.0,18.0,5.0,7.937253933193772,0.0,0.0,0.0,8.5,16.200000000000003
