ds,created,language,user_count
2023-01-26,004_1month,python,410
2023-01-26,004_1month,java,155
2023-01-26,004_1month,c++,93
2023-01-26,004_1month,c,67
2023-01-26,004_1month,go,24
2023-01-26,004_1month,rust,24
2023-01-26,004_1month,r,18
2023-01-26,004_1month,terraform,6
2023-01-26,004_1month,elixir,2
2023-01-26,004_1month,assembly,2
2023-01-26,004_1month,ocaml,1
2023-01-26,004_1month,fortran,1
2023-01-26,004_1month,scala,1
2023-01-26,004_1month,verilog,1
2023-01-26,004_1month,ada,0
2023-01-26,004_1month,agda,0
2023-01-26,004_1month,coq,0
2023-01-26,004_1month,idris,0
2023-01-26,004_1month,isabelle,0
2023-01-26,004_1month,lean,0
2023-01-26,004_1month,sml,0
2023-01-26,004_1month,tla,0
2023-01-26,004_1month,erlang,0
2023-01-26,004_1month,haskell,0
2023-01-26,013_3month,python,1776
2023-01-26,013_3month,java,716
2023-01-26,013_3month,c++,385
2023-01-26,013_3month,c,312
2023-01-26,013_3month,r,105
2023-01-26,013_3month,go,101
2023-01-26,013_3month,rust,71
2023-01-26,013_3month,terraform,16
2023-01-26,013_3month,assembly,12
2023-01-26,013_3month,fortran,6
2023-01-26,013_3month,scala,6
2023-01-26,013_3month,verilog,6
2023-01-26,013_3month,elixir,4
2023-01-26,013_3month,haskell,4
2023-01-26,013_3month,ocaml,2
2023-01-26,013_3month,coq,1
2023-01-26,013_3month,ada,0
2023-01-26,013_3month,agda,0
2023-01-26,013_3month,idris,0
2023-01-26,013_3month,isabelle,0
2023-01-26,013_3month,lean,0
2023-01-26,013_3month,sml,0
2023-01-26,013_3month,tla,0
2023-01-26,013_3month,erlang,0
2023-01-26,052_1year,python,11302
2023-01-26,052_1year,java,5238
2023-01-26,052_1year,c++,2713
2023-01-26,052_1year,c,1794
2023-01-26,052_1year,r,723
2023-01-26,052_1year,go,669
2023-01-26,052_1year,rust,347
2023-01-26,052_1year,terraform,131
2023-01-26,052_1year,assembly,75
2023-01-26,052_1year,verilog,47
2023-01-26,052_1year,scala,32
2023-01-26,052_1year,fortran,27
2023-01-26,052_1year,haskell,24
2023-01-26,052_1year,elixir,19
2023-01-26,052_1year,erlang,7
2023-01-26,052_1year,ocaml,3
2023-01-26,052_1year,coq,2
2023-01-26,052_1year,lean,1
2023-01-26,052_1year,tla,1
2023-01-26,052_1year,ada,0
2023-01-26,052_1year,agda,0
2023-01-26,052_1year,idris,0
2023-01-26,052_1year,isabelle,0
2023-01-26,052_1year,sml,0
2023-01-26,261_5year,python,80757
2023-01-26,261_5year,java,45903
2023-01-26,261_5year,c++,23560
2023-01-26,261_5year,c,14210
2023-01-26,261_5year,r,7930
2023-01-26,261_5year,go,3712
2023-01-26,261_5year,rust,1307
2023-01-26,261_5year,terraform,704
2023-01-26,261_5year,assembly,662
2023-01-26,261_5year,scala,439
2023-01-26,261_5year,fortran,340
2023-01-26,261_5year,verilog,319
2023-01-26,261_5year,haskell,218
2023-01-26,261_5year,elixir,167
2023-01-26,261_5year,ocaml,71
2023-01-26,261_5year,erlang,64
2023-01-26,261_5year,coq,32
2023-01-26,261_5year,sml,29
2023-01-26,261_5year,lean,12
2023-01-26,261_5year,ada,11
2023-01-26,261_5year,agda,4
2023-01-26,261_5year,isabelle,4
2023-01-26,261_5year,idris,2
2023-01-26,261_5year,tla,2
2023-01-26,alltime,java,3950849
2023-01-26,alltime,python,3701954
2023-01-26,alltime,c++,1299812
2023-01-26,alltime,c,913919
2023-01-26,alltime,r,318783
2023-01-26,alltime,go,288488
2023-01-26,alltime,scala,54667
2023-01-26,alltime,rust,51371
2023-01-26,alltime,terraform,49855
2023-01-26,alltime,assembly,26888
2023-01-26,alltime,haskell,16936
2023-01-26,alltime,verilog,15265
2023-01-26,alltime,fortran,14545
2023-01-26,alltime,elixir,8464
2023-01-26,alltime,erlang,7872
2023-01-26,alltime,ocaml,5395
2023-01-26,alltime,sml,3354
2023-01-26,alltime,coq,1134
2023-01-26,alltime,ada,952
2023-01-26,alltime,lean,378
2023-01-26,alltime,agda,243
2023-01-26,alltime,isabelle,158
2023-01-26,alltime,idris,106
2023-01-26,alltime,tla,76
